iter	MultiClass
0	1.529182031
1	1.320090755
2	1.417139974
3	2.413039063
4	1.613104557
5	1.723969271
6	2.814704427
7	1.896489974
8	1.562556771
9	2.579382552
10	1.700789453
11	2.443119531
12	2.24728125
13	1.427317969
14	2.321583333
15	2.202578646
16	1.332064844
17	1.448259375
18	1.844991406
19	1.17723099
20	2.145579297
21	2.003528125
22	1.566270312
23	2.450579948
24	1.744544141
25	1.650658854
26	2.437328125
27	1.703065495
28	1.632651823
29	1.843054818
30	1.07549056
31	2.065653255
32	1.868966146
33	1.124297266
34	1.385314193
35	2.052227604
36	1.318766406
37	1.794115885
38	1.89187487
39	1.160532682
40	1.708167448
41	1.98260638
42	1.226662891
43	1.982871615
44	1.731382682
45	1.301257161
46	2.257213802
47	1.510432552
48	0.8557085286
49	1.128127865
50	2.095489453
51	1.349332292
52	2.231297396
53	1.974320052
54	1.268732943
55	0.9334251953
56	0.8257530599
57	0.7506663411
58	1.732011458
59	1.507786458
60	1.293558854
61	2.081316536
62	1.33685625
63	1.599453125
64	1.861779427
65	1.117548047
66	2.033131641
67	1.799219531
68	1.442864583
69	2.592513021
70	1.848248958
71	1.103612109
72	1.752477865
73	1.430470964
74	0.6831971354
75	1.58633776
76	1.340679948
77	0.7069761068
78	0.6226965495
79	0.8668356771
80	1.127325781
81	1.479621354
82	0.7409069661
83	0.6618697266
84	1.527668229
85	0.7827636068
86	1.774371354
87	1.444418229
88	1.434736849
89	2.241998437
90	1.497735937
91	1.362423177
92	2.071522656
93	1.327004948
94	1.489841146
95	1.705082422
96	0.9607107422
97	1.85703763
98	1.603958464
99	0.8582047526
100	1.770298958
101	1.483334766
102	1.620926172
103	2.279508073
104	1.535273698
105	1.236149479
106	1.850207292
107	1.105987109
108	1.551071094
109	1.654205599
110	0.9091407552
111	1.822511719
112	1.703959375
113	0.9569530599
114	1.596670573
115	1.762536589
116	1.014083659
117	1.227860156
118	1.923164453
119	1.177409505
120	1.753535547
121	1.756129818
122	1.583958854
123	2.545705729
124	1.800762109
125	1.057241797
126	1.187320052
127	1.655258073
128	0.9089227214
129	1.701066276
130	1.530347396
131	1.30278776
132	2.326377865
133	1.58183737
134	0.8377667969
135	1.208019531
136	1.659452604
137	0.9138223307
138	1.195146354
139	1.443521615
140	0.6990438151
141	1.462932422
142	1.327946484
143	1.135570833
144	2.12546875
145	1.379325
146	1.920421615
147	1.956677344
148	1.212629948
149	1.272338411
150	2.00213151
151	1.255344661
152	1.179355208
153	2.048616667
154	1.304464323
155	1.427073828
156	1.811925781
157	1.067323242
158	1.218539714
159	1.397965104
160	0.6537672526
161	1.547860677
162	1.278022266
163	0.8807200521
164	1.898883203
165	1.154633724
166	2.310767448
167	1.951782552
168	1.20676888
169	1.687779036
170	1.729457161
171	0.9842429036
172	1.537967188
173	1.319394271
174	0.964988737
175	2.112664062
176	1.366552474
177	1.77454375
178	1.942717057
179	1.198128906
180	2.208585156
181	1.828482292
182	1.083580534
183	1.598858203
184	1.678391536
185	0.9342779948
186	1.3644
187	1.239010156
188	0.6340811849
189	0.6547423828
190	0.7130967448
191	1.584750391
192	0.8398575521
193	2.013769271
194	1.636852604
195	1.072502865
196	1.346156771
197	0.8548565104
198	1.819977474
199	1.075531315
200	1.392967969
201	1.652345833
202	1.008685352
203	0.8200684245
204	1.879902995
205	1.608897526
206	1.359951172
207	2.132009245
208	1.387453125
209	1.429503776
210	1.764810547
211	1.01994043
212	1.553586458
213	1.649634115
214	1.242061719
