iter	Passed	Remaining
0	2302	1378956
1	3998	1195657
2	6523	1298152
3	8190	1220332
4	9639	1147130
5	10812	1070452
6	12302	1042186
7	13995	1035671
8	16194	1063468
9	16292	961265
10	16382	877187
11	16418	804515
12	16466	743509
13	16511	691133
14	16551	645510
15	16587	605451
16	16629	570310
17	16666	538897
18	16698	510628
19	16735	485325
20	16769	462369
21	16804	441493
22	16838	422438
23	16874	404998
24	16911	388956
25	16950	374208
26	16984	360450
27	17025	347812
28	17073	336164
29	17110	325097
30	17153	314850
31	17212	305524
32	17267	296689
33	17309	288145
34	17356	280176
35	17403	272653
36	17449	265521
37	17488	258644
38	17526	252106
39	17564	245900
40	17599	239953
41	17637	234325
42	17671	228910
43	17709	223779
44	17743	218839
45	17780	214144
46	17817	209636
47	17849	205273
48	17886	201134
49	17922	197150
50	17963	193371
51	17994	189635
52	18029	186082
53	18066	182672
54	18098	179340
55	18129	176115
56	18161	173016
57	18195	170033
58	18228	167148
59	18263	164371
60	18294	161647
61	18325	159019
62	18357	156473
63	18385	153979
64	18417	151589
65	18448	149261
66	18481	147027
67	18515	144855
68	18545	142723
69	18580	140680
70	18609	138655
71	18639	136688
72	18670	134782
73	18701	132929
74	18736	131155
75	18770	129414
76	18796	127667
77	18821	125962
78	18850	124317
79	18878	122707
80	18912	121179
81	18946	119683
82	18976	118201
83	19010	116777
84	19049	115419
85	19083	114057
86	19114	112712
87	19147	111404
88	19180	110126
89	19211	108863
90	19243	107635
91	19278	106448
92	19310	105272
93	19342	104120
94	19375	102995
95	19408	101894
96	19441	100815
97	19473	99750
98	19505	98707
99	19538	97694
100	19569	96687
101	19603	95712
102	19632	94729
103	19667	93797
104	19695	92850
105	19726	91932
106	19758	91038
107	19787	90143
108	19823	89296
109	19857	88456
110	19888	87615
111	19919	86793
112	19957	86012
113	19991	85227
114	20021	84439
115	20056	83682
116	20093	82951
117	20124	82204
118	20159	81486
119	20190	80763
120	20222	80052
121	20256	79365
122	20290	78688
123	20326	78027
124	20360	77370
125	20389	76704
126	20419	76049
127	20455	75429
128	20491	74817
129	20523	74200
130	20568	73639
131	20607	73063
132	20637	72462
133	20667	71873
134	20700	71300
135	20734	70739
136	20769	70192
137	20807	69659
138	20840	69117
139	20871	68576
140	20900	68036
141	20930	67509
142	20966	67005
143	21000	66501
144	21030	65992
145	21064	65501
146	21095	65007
147	21126	64520
148	21155	64035
149	21186	63559
150	21220	63100
151	21260	62662
152	21300	62230
153	21336	61792
154	21363	61334
155	21395	60895
156	21428	60463
157	21461	60039
158	21494	59615
159	21524	59192
160	21553	58769
161	21586	58362
162	21624	57973
163	21657	57578
164	21689	57181
165	21720	56787
166	21752	56400
167	21785	56020
168	21817	55640
169	21847	55260
170	21883	54900
171	21917	54538
172	21947	54171
173	21985	53826
174	22016	53468
175	22058	53141
176	22101	52817
177	22144	52500
178	22183	52174
179	22216	51838
180	22247	51501
181	22283	51177
182	22316	50853
183	22345	50519
184	22382	50209
185	22410	49881
186	22440	49560
187	22473	49249
188	22505	48941
189	22545	48650
190	22580	48352
191	22616	48060
192	22653	47772
193	22691	47489
194	22727	47204
195	22759	46912
196	22789	46619
197	22822	46336
198	22856	46058
199	22887	45774
200	22924	45507
201	22958	45235
202	22998	44977
203	23033	44712
204	23070	44452
205	23101	44183
206	23131	43915
207	23165	43657
208	23196	43395
209	23229	43141
210	23267	42896
211	23300	42644
212	23338	42403
213	23372	42157
214	23402	41906
215	23437	41665
216	23469	41423
217	23496	41173
218	23534	40943
219	23576	40723
220	23609	40487
221	23648	40265
222	23679	40032
223	23718	39813
224	23749	39581
225	23786	39364
226	23823	39145
227	23853	38919
228	23881	38690
229	23918	38477
230	23949	38256
231	23980	38037
232	24012	37821
233	24043	37606
234	24076	37395
235	24109	37185
236	24140	36974
237	24175	36771
238	24206	36562
239	24243	36365
240	24280	36168
241	24311	35964
242	24347	35769
243	24380	35571
244	24415	35377
245	24451	35186
246	24482	34989
247	24520	34803
248	24556	34615
249	24586	34420
250	24619	34231
251	24654	34046
252	24687	33859
253	24720	33673
254	24753	33490
255	24791	33314
256	24823	33130
257	24864	32959
258	24900	32783
259	24931	32602
260	24959	32418
261	24992	32242
262	25022	32063
263	25059	31894
264	25093	31721
265	25125	31548
266	25158	31378
267	25188	31204
268	25225	31040
269	25257	30870
