iter	Passed	Remaining
0	49	29660
1	98	29393
2	140	27991
3	178	26566
4	217	25847
5	253	25055
6	292	24794
7	329	24405
8	359	23589
9	398	23534
10	432	23181
11	463	22732
12	498	22502
13	529	22163
14	564	22032
15	599	21871
16	632	21688
17	673	21765
18	715	21888
19	751	21805
20	801	22088
21	851	22371
22	898	22535
23	938	22532
24	998	22957
25	1037	22898
26	1070	22708
27	1103	22544
28	1138	22407
29	1168	22192
30	1204	22107
31	1236	21951
32	1268	21795
33	1305	21729
34	1345	21715
35	1372	21509
36	1407	21420
37	1439	21282
38	1468	21129
39	1501	21015
40	1532	20891
41	1567	20829
42	1603	20776
43	1643	20771
44	1676	20674
45	1712	20621
46	1741	20494
47	1775	20417
48	1807	20325
49	1837	20215
50	1871	20150
51	1905	20077
52	1937	20001
53	1975	19976
54	2010	19917
55	2045	19867
56	2084	19857
57	2123	19839
58	2155	19765
59	2189	19709
60	2224	19653
61	2259	19605
62	2295	19563
63	2330	19517
64	2366	19480
65	2398	19409
66	2433	19357
67	2464	19278
68	2496	19210
69	2529	19153
70	2563	19103
71	2599	19064
72	2633	19013
73	2667	18958
74	2707	18949
75	2742	18906
76	2772	18834
77	2808	18793
78	2847	18776
79	2877	18701
80	2911	18656
81	2942	18590
82	2976	18540
83	3010	18493
84	3042	18435
85	3073	18372
86	3109	18333
87	3140	18269
88	3174	18227
89	3203	18155
90	3235	18100
91	3273	18074
92	3311	18051
93	3349	18030
94	3382	17982
95	3415	17933
96	3445	17867
97	3480	17827
98	3514	17785
99	3546	17731
100	3577	17677
101	3607	17611
102	3639	17562
103	3673	17517
104	3706	17471
105	3737	17416
106	3767	17357
107	3798	17304
108	3831	17259
109	3860	17197
110	3898	17173
111	3932	17132
112	3961	17074
113	3990	17011
114	4030	16997
115	4061	16948
116	4093	16899
117	4124	16846
118	4154	16794
119	4186	16747
120	4218	16698
121	4251	16658
122	4284	16615
123	4316	16567
124	4346	16516
125	4379	16476
126	4411	16431
127	4441	16378
128	4472	16330
129	4509	16303
130	4543	16267
131	4575	16223
132	4608	16181
133	4641	16142
134	4675	16104
135	4704	16051
136	4734	16001
137	4768	15963
138	4805	15936
139	4840	15905
140	4879	15884
141	4914	15850
142	4950	15821
143	4985	15787
144	5014	15733
145	5049	15701
146	5081	15658
147	5112	15614
148	5143	15569
149	5174	15524
150	5208	15487
151	5237	15436
152	5270	15398
153	5300	15351
154	5331	15305
155	5364	15268
156	5396	15226
157	5426	15181
158	5461	15147
159	5489	15095
160	5517	15044
161	5545	14994
162	5576	14949
163	5607	14907
164	5638	14866
165	5671	14827
166	5700	14779
167	5731	14737
168	5767	14709
169	5798	14668
170	5830	14628
171	5862	14587
172	5893	14545
173	5924	14505
174	5954	14460
175	5983	14415
176	6025	14399
177	6068	14387
178	6102	14353
179	6138	14322
180	6171	14286
181	6206	14255
182	6241	14222
183	6272	14180
184	6303	14140
185	6340	14111
186	6373	14076
187	6408	14044
188	6445	14017
189	6486	13996
190	6515	13952
191	6546	13911
192	6577	13871
193	6610	13833
194	6640	13791
195	6681	13771
196	6784	13879
197	6840	13887
198	6874	13851
199	6906	13812
200	6934	13765
201	6968	13730
202	7000	13691
203	7038	13663
204	7074	13631
205	7113	13605
206	7146	13567
207	7182	13535
208	7216	13501
209	7248	13461
210	7281	13424
211	7312	13382
212	7341	13338
213	7374	13301
214	7403	13257
215	7436	13219
216	7466	13177
217	7497	13138
218	7531	13103
219	7563	13064
220	7593	13022
221	7625	12983
222	7656	12943
223	7686	12902
224	7718	12864
225	7748	12822
226	7778	12781
227	7810	12744
228	7845	12710
229	7876	12671
230	7907	12631
231	7943	12599
232	7976	12564
233	8013	12534
234	8043	12493
235	8076	12456
236	8108	12418
237	8139	12380
238	8169	12340
239	8203	12305
240	8232	12262
241	8269	12233
242	8298	12192
243	8332	12157
