iter	Passed	Remaining
0	52	31728
1	100	30185
2	139	27670
3	181	26981
4	220	26217
5	258	25566
6	296	25144
7	339	25125
8	378	24839
9	414	24442
10	451	24159
11	486	23861
12	521	23569
13	554	23224
14	586	22855
15	617	22547
16	647	22221
17	676	21857
18	709	21707
19	739	21445
20	767	21161
21	803	21110
22	837	21003
23	867	20816
24	899	20683
25	928	20496
26	965	20497
27	1000	20441
28	1031	20314
29	1063	20213
30	1093	20077
31	1124	19967
32	1156	19865
33	1185	19738
34	1215	19627
35	1248	19552
36	1280	19478
37	1311	19396
38	1348	19397
39	1379	19318
40	1412	19255
41	1447	19225
42	1483	19222
43	1518	19185
44	1550	19119
45	1582	19053
46	1612	18968
47	1647	18948
48	1677	18864
49	1708	18789
50	1741	18742
51	1771	18673
52	1803	18614
53	1836	18564
54	1862	18457
55	1890	18360
56	1919	18285
57	1953	18257
58	1985	18202
59	2013	18122
60	2045	18074
61	2083	18080
62	2119	18065
63	2149	18006
64	2181	17951
65	2213	17909
66	2242	17842
67	2272	17780
68	2304	17731
69	2334	17675
70	2366	17635
71	2398	17590
72	2429	17538
73	2461	17497
74	2495	17465
75	2526	17418
76	2561	17399
77	2594	17364
78	2630	17344
79	2664	17319
80	2694	17267
81	2731	17254
82	2763	17212
83	2791	17149
84	2818	17077
85	2852	17049
86	2888	17033
87	2919	16987
88	2948	16929
89	2978	16875
90	3011	16844
91	3045	16814
92	3077	16775
93	3107	16730
94	3140	16692
95	3170	16646
96	3204	16617
97	3233	16563
98	3264	16518
99	3297	16486
100	3337	16491
101	3370	16454
102	3401	16412
103	3431	16366
104	3467	16348
105	3505	16338
106	3537	16298
107	3570	16266
108	3604	16237
109	3642	16227
110	3670	16171
111	3703	16137
112	3731	16081
113	3761	16036
114	3793	15999
115	3821	15946
116	3854	15912
117	3893	15903
118	3922	15854
119	3949	15798
120	3981	15759
121	4011	15715
122	4047	15694
123	4077	15650
124	4106	15604
125	4136	15562
126	4167	15520
127	4200	15490
128	4231	15451
129	4266	15426
130	4300	15397
131	4336	15374
132	4370	15345
133	4401	15305
134	4430	15262
135	4467	15243
136	4498	15204
137	4531	15169
138	4561	15128
139	4589	15080
140	4623	15052
141	4655	15014
142	4688	14982
143	4721	14949
144	4752	14914
145	4781	14869
146	4810	14823
147	4839	14778
148	4869	14739
149	4905	14716
150	4936	14679
151	4967	14642
152	5003	14618
153	5040	14598
154	5072	14562
155	5100	14516
156	5134	14487
157	5168	14459
158	5200	14425
159	5231	14385
160	5261	14346
161	5292	14308
162	5326	14279
163	5356	14241
164	5390	14211
165	5423	14178
166	5452	14137
167	5488	14114
168	5519	14075
169	5552	14044
170	5588	14020
171	5619	13983
172	5648	13941
173	5678	13903
174	5708	13864
175	5742	13833
176	5774	13799
177	5807	13767
178	5843	13743
179	5872	13702
180	5903	13665
181	5931	13622
182	5962	13586
183	5994	13551
184	6027	13521
185	6063	13495
186	6101	13475
187	6131	13436
188	6161	13399
189	6195	13368
190	6226	13332
191	6261	13305
192	6293	13272
193	6328	13244
194	6362	13214
195	6398	13188
196	6430	13154
197	6467	13130
198	6497	13093
199	6530	13061
200	6563	13029
201	6593	12992
202	6625	12956
203	6657	12923
204	6688	12887
205	6726	12864
206	6758	12831
207	6787	12792
208	6817	12753
209	6846	12715
210	6875	12674
211	6917	12659
212	6945	12619
213	6986	12601
214	7015	12562
215	7046	12526
216	7076	12490
217	7105	12450
218	7134	12412
219	7166	12378
220	7197	12342
221	7230	12311
222	7258	12271
223	7290	12237
224	7318	12196
225	7346	12158
226	7381	12128
227	7419	12105
228	7451	12072
229	7485	12041
230	7516	12006
231	7557	11988
232	7591	11957
233	7621	11920
234	7653	11888
235	7702	11880
236	7744	11861
237	7789	11848
238	7828	11825
239	7861	11792
240	7892	11757
241	7927	11727
242	7961	11695
243	7991	11659
244	8024	11627
245	8059	11598
246	8092	11565
247	8126	11534
248	8158	11500
249	8194	11471
250	8224	11436
251	8261	11408
252	8293	11374
253	8327	11343
254	8363	11315
255	8394	11279
256	8428	11249
257	8456	11210
258	8485	11171
259	8516	11136
260	8555	11111
261	8585	11075
262	8620	11045
263	8650	11010
264	8682	10976
265	8714	10942
266	8745	10907
267	8777	10874
268	8812	10843
269	8842	10808
270	8875	10774
271	8906	10740
272	8936	10703
273	8966	10668
274	8997	10633
275	9030	10601
276	9065	10571
277	9096	10536
278	9128	10502
279	9159	10468
280	9189	10432
281	9224	10401
282	9254	10366
283	9285	10331
284	9319	10300
285	9354	10270
286	9385	10236
287	9417	10202
288	9450	10169
289	9486	10141
290	9519	10108
291	9550	10073
292	9581	10038
293	9613	10006
294	9642	9969
295	9670	9931
296	9700	9896
297	9729	9860
298	9758	9823
299	9788	9788
300	9820	9755
301	9850	9720
302	9878	9682
303	9910	9650
304	9943	9617
305	9975	9584
306	10005	9549
307	10036	9514
308	10068	9481
309	10098	9446
310	10127	9410
311	10158	9377
312	10192	9345
313	10225	9314
314	10256	9280
315	10288	9246
316	10319	9212
317	10349	9178
318	10380	9144
319	10412	9111
320	10442	9076
321	10472	9041
322	10505	9009
323	10535	8974
324	10567	8942
325	10599	8909
326	10627	8872
327	10664	8843
328	10692	8807
329	10722	8772
330	10753	8739
331	10785	8706
332	10816	8672
333	10846	8638
334	10877	8604
335	10909	8572
336	10937	8535
337	10966	8500
338	11001	8469
339	11032	8436
340	11061	8401
341	11093	8368
342	11126	8336
343	11160	8305
344	11192	8272
345	11223	8239
346	11253	8204
347	11284	8171
348	11317	8139
349	11352	8108
350	11383	8075
351	11416	8043
352	11449	8011
353	11484	7980
354	11522	7951
355	11555	7920
356	11585	7885
357	11619	7854
358	11653	7823
359	11683	7788
360	11714	7755
361	11747	7723
362	11776	7688
363	11812	7658
364	11845	7626
365	11885	7598
366	11919	7567
367	11957	7538
368	11994	7509
369	12029	7477
370	12066	7447
371	12105	7419
372	12137	7386
373	12176	7357
374	12214	7328
375	12246	7295
376	12276	7261
377	12311	7230
378	12345	7198
379	12375	7164
380	12403	7129
381	12433	7095
382	12465	7062
383	12502	7032
384	12535	7000
385	12567	6967
386	12601	6935
387	12634	6903
388	12667	6871
389	12701	6839
390	12735	6807
391	12771	6776
392	12807	6746
393	12837	6711
394	12868	6678
395	12900	6645
396	12930	6611
397	12960	6578
398	12994	6546
399	13028	6514
400	13061	6482
401	13089	6447
402	13117	6412
403	13151	6380
404	13180	6346
405	13213	6313
406	13244	6280
407	13276	6247
408	13310	6215
409	13345	6184
410	13374	6150
411	13406	6117
412	13442	6086
413	13477	6055
414	13507	6021
415	13540	5988
416	13576	5957
417	13604	5923
418	13634	5889
419	13669	5858
420	13704	5827
421	13734	5793
422	13767	5760
423	13794	5726
424	13823	5691
425	13854	5658
426	13884	5625
427	13917	5592
428	13945	5558
429	13976	5525
430	14007	5492
431	14035	5458
432	14066	5425
433	14099	5393
434	14135	5361
435	14166	5328
436	14201	5296
437	14232	5263
438	14260	5229
439	14288	5195
440	14319	5162
441	14352	5130
442	14383	5097
443	14414	5064
444	14441	5030
445	14474	4997
446	14510	4966
447	14546	4935
448	14579	4903
449	14612	4870
450	14644	4838
451	14676	4805
452	14708	4772
453	14737	4739
454	14768	4706
455	14796	4672
456	14831	4640
457	14862	4607
458	14898	4576
459	14927	4543
460	14966	4512
461	15000	4480
462	15033	4448
463	15065	4415
464	15096	4382
465	15127	4349
466	15162	4318
467	15197	4286
468	15230	4254
469	15260	4221
470	15290	4187
471	15326	4156
472	15357	4123
473	15387	4090
474	15418	4057
475	15447	4024
476	15485	3993
477	15518	3960
478	15551	3928
479	15584	3896
480	15612	3862
481	15641	3829
482	15674	3796
483	15708	3764
484	15744	3733
485	15774	3700
486	15805	3667
487	15835	3634
488	15863	3600
489	15891	3567
490	15920	3534
491	15956	3502
492	15988	3470
493	16024	3438
494	16057	3406
495	16089	3373
496	16123	3341
497	16154	3308
498	16182	3275
499	16214	3242
500	16247	3210
501	16281	3178
502	16314	3146
503	16345	3113
504	16378	3081
505	16409	3048
506	16439	3015
507	16469	2982
508	16501	2950
509	16535	2917
510	16564	2885
511	16596	2852
512	16635	2821
513	16668	2788
514	16699	2756
515	16729	2723
516	16762	2691
517	16792	2658
518	16823	2625
519	16851	2592
520	16883	2560
521	16910	2526
522	16941	2494
523	16969	2461
524	16998	2428
525	17033	2396
526	17064	2363
527	17092	2330
528	17120	2297
529	17151	2265
530	17182	2232
531	17211	2199
532	17242	2167
533	17277	2135
534	17309	2103
535	17341	2070
536	17373	2038
537	17403	2005
538	17433	1972
539	17462	1940
540	17493	1907
541	17525	1875
542	17553	1842
543	17585	1810
544	17614	1777
545	17642	1744
546	17673	1712
547	17706	1680
548	17737	1647
549	17770	1615
550	17801	1583
551	17833	1550
552	17864	1518
553	17900	1486
554	17928	1453
555	17962	1421
556	17991	1388
557	18025	1356
558	18056	1324
559	18086	1291
560	18121	1259
561	18153	1227
562	18184	1195
563	18213	1162
564	18241	1129
565	18274	1097
566	18304	1065
567	18337	1033
568	18368	1000
569	18405	968
570	18434	936
571	18463	903
572	18494	871
573	18525	839
574	18555	806
575	18585	774
576	18616	742
577	18646	709
578	18688	677
579	18729	645
580	18779	614
581	18815	581
582	18846	549
583	18874	517
584	18903	484
585	18933	452
586	18965	420
587	18999	387
588	19035	355
589	19067	323
590	19097	290
591	19132	258
592	19167	226
593	19200	193
594	19231	161
595	19260	129
596	19293	96
597	19326	64
598	19357	32
599	19391	0
