iter	Passed	Remaining
0	314	188408
1	605	181047
2	874	174042
3	1125	167630
4	1373	163418
5	1632	161620
6	1895	160617
7	2150	159145
8	2403	157798
9	2665	157246
10	2918	156257
11	3171	155393
12	3425	154668
13	3683	154179
14	3938	153616
15	4188	152866
16	4440	152275
17	4682	151407
18	4943	151166
19	5194	150631
20	5448	150213
21	5696	149675
22	5939	149006
23	6189	148536
24	6448	148320
25	6718	148319
26	6966	147840
27	7227	147638
28	7478	147241
29	7738	147031
30	7992	146698
31	8239	146253
32	8483	145754
33	8737	145460
34	8979	144962
35	9236	144697
36	9490	144416
37	9736	144001
38	9990	143703
39	10238	143342
40	10485	142957
41	10736	142643
42	10991	142374
43	11241	142050
44	11498	141809
45	11749	141500
46	11995	141136
47	12240	140763
48	12485	140401
49	12728	140008
50	12978	139708
51	13222	139345
52	13468	139005
53	13726	138789
54	13983	138565
55	14225	138193
56	14476	137903
57	14577	136221
58	14822	135918
59	15075	135678
60	15323	135401
61	15575	135157
62	15829	134926
63	16074	134623
64	16353	134602
65	16641	134648
66	16689	132766
67	16939	132524
68	17192	132305
69	17441	132058
70	17682	131744
71	17948	131623
72	17994	129907
73	18242	129666
74	18496	129476
75	18592	128190
76	18849	128032
77	19100	127828
78	19359	127675
79	19605	127437
80	19857	127236
81	20111	127048
82	20363	126840
83	20609	126603
84	20858	126380
85	21108	126157
86	21357	125933
87	21605	125702
88	21649	124302
89	21898	124091
90	22145	123870
91	22398	123678
92	22645	123456
93	22910	123324
94	23160	123115
95	23407	122889
96	23653	122658
97	23903	122446
98	23947	121190
99	24201	121007
100	24451	120803
101	24700	120596
102	24949	120385
103	25192	120150
104	25439	119931
105	25692	119735
106	25938	119511
107	26183	119280
108	26433	119071
109	26689	118891
110	26944	118702
111	27196	118497
112	27445	118281
113	27700	118092
114	27948	117871
115	28192	117630
116	28447	117436
117	28703	117245
118	28955	117038
119	29205	116821
120	29461	116626
121	29710	116405
122	29756	115397
123	30009	115198
124	30262	114996
125	30516	114800
126	30770	114601
127	31020	114386
128	31265	114156
129	31516	113946
130	31777	113766
131	32030	113563
132	32069	112606
133	32108	111661
134	32358	111457
135	32603	111234
136	32858	111048
137	33106	110834
138	33350	110608
139	33395	109728
140	33640	109511
141	33902	109345
142	33951	108502
143	33997	107660
144	34039	106812
145	34078	105970
146	34324	105775
147	34570	105581
148	34615	104774
149	34861	104584
150	34906	103794
151	34955	103025
152	35000	102257
153	35333	102328
154	35645	102336
155	35934	102274
156	36182	102094
157	36237	101373
158	36279	100623
159	36529	100456
160	36778	100283
161	36824	99562
162	37070	99384
163	37318	99212
164	37359	98494
165	37601	98308
166	37862	98169
167	38196	98218
168	38479	98133
169	38726	97955
170	38971	97770
171	39218	97591
172	39469	97418
173	39712	97227
174	40019	97190
175	40296	97078
176	40595	97015
177	40883	96927
178	41146	96775
179	41187	96103
180	41435	95919
181	41693	95757
182	41955	95603
183	42222	95459
184	42482	95299
185	42731	95111
186	42983	94930
187	43246	94775
188	43509	94615
