iter	Passed	Remaining
0	132	79237
1	254	76169
2	367	73137
3	475	70814
4	573	68299
5	686	67996
6	779	66026
7	878	65045
8	971	63777
9	1018	60078
10	1121	60035
11	1213	59466
12	1309	59112
13	1406	58868
14	1506	58746
15	1617	59042
16	1717	58905
17	1824	59000
18	1938	59284
19	2044	59277
20	2141	59049
21	2180	57278
22	2272	57009
23	2379	57115
24	2482	57098
25	2573	56807
26	2664	56538
27	2764	56468
28	2799	55120
29	2898	55073
30	2988	54848
31	3078	54636
32	3168	54442
33	3260	54272
34	3356	54191
35	3459	54191
36	3523	53621
37	3613	53440
38	3717	53479
39	3810	53350
40	3909	53297
41	3998	53125
42	4098	53091
43	4189	52940
44	4282	52818
45	4384	52801
46	4491	52848
47	4608	52997
48	4696	52812
49	4822	53051
50	4930	53076
51	5045	53176
52	5135	52997
53	5228	52869
54	5333	52847
55	5435	52802
56	5531	52693
57	5640	52705
58	5744	52676
59	5782	52042
60	5896	52103
61	5996	52036
62	6096	51963
63	6200	51926
64	6295	51813
65	6391	51713
66	6487	51609
67	6578	51464
68	6671	51339
69	6764	51219
70	6853	51063
71	6943	50920
72	7037	50805
73	7141	50760
74	7231	50618
75	7331	50547
76	7419	50396
77	7510	50260
78	7613	50210
79	7648	49715
80	7675	49178
81	7705	48673
82	7799	48583
83	7890	48467
84	7979	48347
85	8073	48251
86	8163	48135
87	8252	48014
88	8279	47537
89	8370	47431
90	8473	47394
91	8583	47398
92	8686	47353
93	8795	47348
94	8896	47293
95	9003	47268
96	9099	47184
97	9194	47096
98	9258	46852
99	9352	46761
100	9465	46763
101	9567	46711
102	9637	46505
103	9740	46453
104	9850	46438
105	9969	46460
106	10080	46445
107	10132	46159
108	10228	46075
109	10322	45980
110	10415	45885
111	10453	45549
112	10549	45464
113	10645	45382
114	10741	45301
115	10833	45203
116	10927	45108
117	11017	45003
118	11055	44685
119	11084	44337
120	11111	43985
121	11197	43873
122	11287	43774
123	11324	43473
124	11394	43298
125	11425	42981
126	11456	42670
127	11547	42581
128	11579	42278
129	11678	42223
130	11724	41975
131	11815	41892
132	11908	41812
133	12008	41762
134	12106	41700
135	12144	41435
136	12236	41354
137	12326	41267
138	12418	41185
139	12507	41095
140	12599	41015
141	12631	40741
142	12723	40662
143	12753	40386
144	12784	40116
145	12812	39840
146	12908	39780
147	12937	39510
148	12969	39256
149	12997	38991
150	13029	38742
151	13078	38547
152	13109	38300
153	13142	38061
154	13239	38011
155	13331	37942
156	13395	37797
157	13485	37725
158	13533	37535
159	13628	37478
160	13731	37441
161	13822	37372
162	13912	37298
163	14003	37227
164	14094	37159
165	14190	37100
166	14279	37025
167	14308	36793
168	14396	36716
169	14428	36495
170	14457	36270
171	14548	36201
172	14651	36163
173	14742	36093
174	14805	35957
175	14905	35908
176	14999	35847
177	15091	35778
178	15180	35703
179	15277	35648
180	15376	35594
181	15468	35526
182	15557	35450
183	15651	35386
184	15743	35316
185	15831	35238
186	15936	35196
187	16032	35135
188	16122	35060
189	16217	34995
190	16263	34825
191	16355	34756
192	16422	34631
193	16513	34559
194	16602	34482
195	16695	34413
196	16793	34354
197	16857	34225
198	16945	34147
199	17043	34086
200	17144	34032
201	17245	33979
202	17336	33903
203	17434	33843
204	17526	33770
205	17571	33608
206	17663	33534
207	17710	33377
208	17817	33332
209	17911	33263
210	18007	33198
211	18101	33130
212	18193	33055
213	18283	32978
214	18377	32908
215	18477	32849
216	18570	32777
217	18660	32699
218	18756	32630
219	18849	32558
220	18943	32487
221	19033	32407
222	19139	32357
223	19237	32291
224	19328	32214
225	19358	32035
226	19448	31956
227	19478	31781
228	19508	31606
229	19537	31430
230	19564	31252
231	19609	31104
232	19698	31027
233	19788	30951
234	19881	30880
235	19972	30804
236	20066	30734
237	20158	30660
238	20203	30517
239	20236	30354
240	20273	30199
241	20366	30129
242	20461	30060
243	20551	29985
244	20655	29929
245	20757	29869
246	20856	29807
247	20955	29743
248	21047	29669
249	21138	29594
250	21230	29519
251	21321	29444
252	21410	29365
253	21513	29305
254	21617	29247
255	21709	29172
256	21807	29104
257	21901	29031
258	21993	28957
259	22085	28881
260	22115	28725
261	22207	28649
262	22304	28580
263	22403	28513
264	22514	28461
265	22609	28389
266	22701	28313
267	22794	28238
268	22888	28163
269	22983	28091
270	23078	28017
271	23169	27939
272	23265	27867
273	23358	27791
274	23458	27723
275	23552	27648
276	23643	27569
277	23743	27501
278	23840	27429
279	23933	27352
280	24024	27273
281	24090	27166
282	24182	27088
283	24272	27007
284	24363	26928
285	24456	26850
286	24549	26774
287	24641	26695
288	24706	26586
289	24803	26514
290	24894	26434
291	24982	26351
292	25074	26273
293	25107	26132
294	25196	26050
295	25289	25973
296	25378	25890
297	25468	25809
298	25565	25736
299	25603	25603
300	25689	25519
301	25777	25436
302	25847	25336
303	25956	25273
304	26065	25210
305	26155	25129
306	26243	25047
307	26332	24964
308	26424	24885
309	26515	24804
310	26604	24722
311	26702	24648
312	26813	24585
313	26930	24528
314	27041	24465
315	27138	24390
316	27235	24314
317	27330	24236
318	27424	24157
319	27517	24077
320	27622	24008
321	27691	23907
322	27803	23843
323	27843	23718
324	27949	23649
325	28006	23539
326	28045	23413
327	28148	23342
328	28253	23272
329	28326	23176
330	28429	23104
331	28467	22980
332	28578	22914
333	28615	22789
334	28727	22724
335	28836	22656
336	28946	22590
337	29052	22520
338	29085	22393
339	29156	22296
340	29259	22223
341	29362	22150
342	29462	22075
343	29556	21995
344	29645	21912
345	29744	21835
346	29789	21720
347	29952	21689
348	29989	21568
349	30077	21483
350	30107	21358
351	30147	21240
352	30247	21164
353	30337	21082
354	30431	21002
355	30493	20900
356	30597	20827
357	30688	20744
358	30797	20674
359	30896	20597
360	30999	20523
361	31089	20439
362	31183	20359
363	31277	20278
364	31364	20193
365	31411	20082
366	31463	19975
367	31507	19863
368	31598	19781
369	31626	19659
370	31715	19576
371	31803	19492
372	31893	19409
373	31959	19312
374	32050	19230
375	32139	19147
376	32231	19065
377	32319	18981
378	32348	18862
379	32438	18780
380	32476	18667
381	32566	18585
382	32659	18504
383	32762	18428
384	32850	18345
385	32944	18264
386	33040	18184
387	33130	18102
388	33221	18019
389	33328	17946
390	33425	17866
391	33517	17784
392	33611	17703
393	33647	17592
394	33740	17510
395	33785	17404
396	33876	17322
397	33969	17240
398	34064	17160
399	34151	17075
400	34245	16994
401	34275	16881
402	34302	16768
403	34389	16684
404	34480	16601
405	34512	16491
406	34543	16380
407	34642	16302
408	34744	16225
409	34841	16145
410	34940	16067
411	34977	15960
412	35011	15852
413	35043	15744
414	35077	15636
415	35110	15529
416	35143	15422
417	35171	15313
418	35202	15206
419	35230	15098
420	35257	14990
421	35283	14882
422	35312	14776
423	35340	14669
424	35368	14563
425	35397	14458
426	35425	14352
427	35458	14249
428	35490	14146
429	35518	14042
430	35546	13938
431	35573	13834
432	35600	13730
433	35694	13652
434	35787	13574
435	35873	13493
436	35929	13401
437	35965	13302
438	36084	13233
439	36190	13160
440	36287	13083
441	36377	13003
442	36476	12927
443	36570	12848
444	36661	12769
445	36724	12680
446	36752	12579
447	36852	12503
448	36954	12427
449	37048	12349
450	37100	12257
451	37200	12180
452	37288	12100
453	37381	12021
454	37475	11942
455	37564	11862
456	37666	11786
457	37757	11706
458	37787	11607
459	37875	11527
460	37966	11447
461	38059	11368
462	38151	11288
463	38240	11208
464	38332	11128
465	38423	11048
466	38455	10952
467	38544	10871
468	38635	10791
469	38723	10710
470	38815	10631
471	38913	10552
472	38942	10455
473	39035	10376
474	39064	10280
475	39092	10183
476	39134	10091
477	39163	9995
478	39192	9900
479	39225	9806
480	39316	9727
481	39380	9640
482	39418	9548
483	39447	9454
484	39479	9361
485	39576	9283
486	39666	9203
487	39757	9124
488	39853	9046
489	39948	8967
490	39993	8878
491	40087	8799
492	40179	8720
493	40276	8642
494	40376	8564
495	40469	8485
496	40514	8396
497	40579	8311
498	40613	8220
499	40643	8128
500	40735	8049
501	40832	7971
502	40925	7892
503	41024	7814
504	41126	7736
505	41225	7658
506	41331	7581
507	41423	7501
508	41523	7423
509	41614	7343
510	41702	7263
511	41800	7184
512	41836	7095
513	41933	7016
514	42030	6937
515	42121	6856
516	42184	6772
517	42212	6682
518	42240	6592
519	42332	6512
520	42360	6423
521	42457	6344
522	42549	6264
523	42640	6184
524	42735	6105
525	42825	6024
526	42922	5945
527	42971	5859
528	43066	5780
529	43130	5696
530	43219	5616
531	43249	5528
532	43341	5448
533	43437	5368
534	43502	5285
535	43596	5205
536	43660	5122
537	43753	5042
538	43846	4962
539	43912	4879
540	43962	4794
541	44053	4714
542	44156	4635
543	44252	4555
544	44345	4475
545	44437	4394
546	44468	4308
547	44505	4223
548	44596	4142
549	44685	4062
550	44774	3981
551	44864	3901
552	44963	3821
553	45008	3737
554	45039	3651
555	45076	3567
556	45105	3482
557	45168	3399
558	45197	3315
559	45286	3234
560	45376	3154
561	45422	3071
562	45486	2989
563	45577	2909
564	45628	2826
565	45664	2743
566	45754	2662
567	45845	2582
568	45936	2502
569	45982	2420
570	46061	2339
571	46162	2259
572	46257	2179
573	46351	2099
574	46443	2019
575	46538	1939
576	46628	1858
577	46717	1778
578	46810	1697
579	46907	1617
580	46999	1536
581	47097	1456
582	47190	1376
583	47281	1295
584	47308	1213
585	47340	1130
586	47432	1050
587	47523	969
588	47619	889
589	47715	808
590	47808	728
591	47901	647
592	47989	566
593	48082	485
594	48173	404
595	48265	323
596	48355	242
597	48451	162
598	48546	81
599	48588	0
