iter	Passed	Remaining
0	78	47256
1	150	44966
2	222	44298
3	290	43309
4	356	42478
5	417	41300
6	483	40997
7	550	40707
8	618	40616
9	684	40408
10	748	40077
11	816	39998
12	884	39923
13	945	39569
14	1006	39254
15	1072	39133
16	1136	38972
17	1200	38823
18	1263	38647
19	1326	38473
20	1391	38370
21	1466	38534
22	1532	38447
23	1595	38298
24	1660	38196
25	1721	38003
26	1785	37902
27	1850	37807
28	1909	37589
29	1973	37505
30	2033	37323
31	2095	37200
32	2160	37120
33	2230	37131
34	2291	36996
35	2361	36999
36	2426	36929
37	2487	36784
38	2549	36667
39	2609	36531
40	2676	36488
41	2745	36471
42	2806	36351
43	2865	36206
44	2930	36146
45	2995	36073
46	3056	35964
47	3121	35895
48	3183	35802
49	3249	35746
50	3310	35633
51	3375	35576
52	3436	35467
53	3504	35436
54	3569	35373
55	3632	35284
56	3700	35255
57	3763	35166
58	3828	35103
59	3890	35017
60	3954	34939
61	4014	34835
62	4080	34781
63	4145	34720
64	4214	34686
65	4272	34566
66	4330	34448
67	4393	34373
68	4460	34330
69	4533	34328
70	4597	34255
71	4662	34189
72	4723	34103
73	4789	34042
74	4856	33993
75	4927	33974
76	4995	33930
77	5060	33867
78	5123	33787
79	5182	33684
80	5246	33616
81	5303	33504
82	5366	33425
83	5425	33329
84	5495	33294
85	5559	33225
86	5621	33147
87	5686	33084
88	5753	33035
89	5814	32946
90	5872	32846
91	5933	32763
92	5991	32663
93	6055	32596
94	6113	32500
95	6175	32422
96	6241	32365
97	6304	32296
98	6359	32181
99	6421	32107
100	6481	32024
101	6539	31928
102	6604	31869
103	6668	31804
104	6731	31734
105	6795	31668
106	6854	31581
107	6913	31492
108	6978	31435
109	7042	31373
110	7103	31295
111	7162	31210
112	7228	31151
113	7290	31079
114	7356	31027
115	7416	30945
116	7485	30902
117	7548	30833
118	7607	30749
119	7667	30668
120	7725	30582
121	7785	30503
122	7846	30428
123	7906	30351
124	7970	30288
125	8027	30197
126	8085	30114
127	8144	30033
128	8204	29956
129	8266	29885
130	8325	29808
131	8393	29757
132	8457	29697
133	8519	29629
134	8579	29551
135	8634	29458
136	8694	29382
137	8755	29310
138	8791	29157
139	8840	29048
140	8904	28988
141	8965	28918
142	9026	28845
143	9084	28769
144	9151	28716
145	9218	28666
146	9279	28595
147	9335	28512
148	9401	28456
149	9465	28395
150	9523	28318
151	9583	28246
152	9639	28161
153	9696	28083
154	9750	27994
155	9812	27926
156	9877	27872
157	9939	27805
158	9997	27730
159	10062	27670
160	10124	27605
161	10185	27537
162	10241	27458
163	10304	27395
164	10369	27337
165	10425	27257
166	10491	27201
167	10551	27132
168	10608	27054
169	10669	26988
170	10734	26931
171	10799	26873
172	10864	26815
173	10930	26761
174	10999	26711
175	11062	26651
176	11122	26581
177	11186	26520
178	11251	26463
179	11315	26402
180	11373	26328
181	11434	26260
182	11493	26190
183	11552	26118
184	11613	26051
185	11681	26001
186	11743	25935
187	11803	25867
188	11858	25788
189	11923	25729
190	11982	25658
191	12043	25591
192	12100	25517
193	12161	25450
194	12222	25385
195	12282	25317
196	12344	25253
197	12405	25187
198	12467	25122
199	12529	25059
200	12591	24995
201	12654	24933
202	12715	24866
203	12777	24803
204	12846	24752
205	12908	24689
206	12968	24621
207	13033	24563
208	13096	24500
209	13159	24438
210	13199	24334
211	13257	24263
212	13320	24201
213	13389	24151
214	13455	24093
215	13516	24028
216	13582	23973
217	13645	23911
218	13705	23843
219	13765	23776
220	13829	23716
221	13890	23651
222	13949	23583
223	14008	23513
224	14073	23456
225	14138	23397
226	14199	23332
227	14258	23263
228	14314	23190
229	14380	23134
230	14440	23066
231	14504	23006
232	14570	22949
233	14632	22886
234	14698	22830
235	14760	22766
236	14823	22704
237	14882	22636
238	14942	22569
239	14999	22498
240	15058	22431
241	15117	22363
242	15181	22304
243	15243	22240
244	15305	22177
245	15367	22114
246	15434	22058
247	15495	21993
248	15555	21927
249	15617	21864
250	15680	21802
251	15741	21737
252	15805	21677
253	15864	21610
254	15927	21548
255	15988	21484
256	16050	21421
257	16112	21358
258	16173	21294
259	16232	21227
260	16294	21164
261	16354	21098
262	16414	21032
263	16473	20966
264	16531	20897
265	16599	20842
266	16666	20786
267	16727	20722
268	16797	20669
269	16853	20598
270	16912	20531
271	16972	20467
272	17032	20401
273	17095	20339
274	17160	20281
275	17221	20216
276	17281	20151
277	17344	20089
278	17414	20036
279	17472	19969
280	17535	19906
281	17596	19842
282	17655	19776
283	17715	19712
284	17772	19643
285	17827	19573
286	17887	19508
287	17941	19436
288	18002	19372
289	18060	19306
290	18129	19250
291	18187	19184
292	18252	19124
293	18321	19069
294	18385	19008
295	18441	18939
296	18504	18878
297	18564	18813
298	18637	18762
299	18705	18705
300	18767	18642
301	18826	18576
302	18890	18516
303	18958	18459
304	19019	18396
305	19079	18330
306	19142	18269
307	19204	18206
308	19267	18144
309	19328	18081
310	19395	18023
311	19470	17972
312	19534	17911
313	19593	17846
314	19654	17782
315	19719	17722
316	19778	17657
317	19850	17603
318	19917	17545
319	19981	17483
320	20046	17423
321	20102	17355
322	20157	17286
323	20216	17221
324	20281	17161
325	20351	17104
326	20406	17036
327	20461	16967
328	20518	16901
329	20584	16842
330	20647	16780
331	20704	16713
332	20761	16646
333	20829	16588
334	20891	16525
335	20955	16465
336	21011	16397
337	21071	16333
338	21132	16270
339	21192	16206
340	21263	16150
341	21325	16087
342	21385	16023
343	21442	15957
344	21498	15890
345	21560	15827
346	21619	15762
347	21679	15699
348	21744	15638
349	21805	15575
350	21874	15517
351	21935	15454
352	21998	15392
353	22054	15326
354	22116	15263
355	22178	15200
356	22239	15137
357	22302	15075
358	22357	15008
359	22420	14946
360	22481	14883
361	22544	14821
362	22602	14757
363	22661	14692
364	22716	14625
365	22774	14560
366	22840	14500
367	22902	14438
368	22962	14375
369	23022	14311
370	23085	14249
371	23148	14188
372	23211	14125
373	23267	14059
374	23323	13994
375	23377	13927
376	23436	13862
377	23500	13802
378	23567	13742
379	23631	13681
380	23688	13616
381	23754	13556
382	23816	13493
383	23878	13431
384	23942	13370
385	24006	13309
386	24067	13246
387	24128	13183
388	24195	13123
389	24257	13061
390	24318	12998
391	24378	12935
392	24441	12873
393	24497	12808
394	24561	12747
395	24627	12686
396	24687	12623
397	24742	12557
398	24801	12494
399	24867	12433
400	24923	12368
401	24977	12302
402	25037	12239
403	25107	12181
404	25171	12119
405	25231	12056
406	25292	11993
407	25350	11929
408	25407	11865
409	25469	11802
410	25525	11738
411	25588	11676
412	25646	11612
413	25709	11550
414	25764	11485
415	25825	11422
416	25887	11360
417	25949	11298
418	26003	11233
419	26063	11170
420	26127	11108
421	26187	11046
422	26255	10986
423	26318	10924
424	26382	10863
425	26441	10799
426	26507	10739
