iter	Logloss
0	0.6569492188
1	0.6542907366
2	0.6520629185
3	0.6499691685
4	0.647581543
5	0.6452880162
6	0.6431337193
7	0.6410208566
8	0.6389906529
9	0.6365759626
10	0.6344421038
11	0.6321855469
12	0.6302174944
13	0.6277988281
14	0.6256529018
15	0.6234662388
16	0.6212516741
17	0.6185480608
18	0.6163602121
19	0.6139633789
20	0.6117279576
21	0.6093291713
22	0.6071586914
23	0.6047179129
24	0.602344308
25	0.6000873326
26	0.5977704381
27	0.5953006417
28	0.5930818917
29	0.5910389927
30	0.5890880301
31	0.5872200753
32	0.585445731
33	0.5834055873
34	0.5809962333
35	0.5784760393
36	0.5760580706
37	0.5735174386
38	0.5715322963
39	0.5694341518
40	0.5672179827
41	0.5652292132
42	0.5632531738
43	0.561019043
44	0.5587544294
45	0.5566144322
46	0.5547651716
47	0.5525963309
48	0.5503049316
49	0.5481359166
50	0.5463330078
51	0.5446100028
52	0.5426774554
53	0.5406385324
54	0.5385915527
55	0.536168457
56	0.5339890137
57	0.5316035854
58	0.5294929199
59	0.5279823521
60	0.5261496582
61	0.5240129395
62	0.5221154088
63	0.5201462751
64	0.5185300642
65	0.5167347935
66	0.5148822545
67	0.5131357771
68	0.511693743
69	0.5099175153
70	0.5080564314
71	0.5058925432
72	0.5042438965
73	0.5022711356
74	0.5004063895
75	0.498168736
76	0.4959941755
77	0.4938599679
78	0.4917847726
79	0.4901319057
80	0.4885968192
81	0.4868904506
82	0.4849441964
83	0.483164202
84	0.481412772
85	0.4794509277
86	0.4776371024
87	0.4759433245
88	0.4745108468
89	0.4726945452
90	0.4711230818
91	0.4691102818
92	0.4672495117
93	0.4656650042
94	0.4636876395
95	0.4624596819
96	0.4609079241
97	0.4593177665
98	0.4571413574
99	0.4557058105
100	0.4539614258
101	0.4525274833
102	0.4504870954
103	0.4487592425
104	0.4471461705
105	0.4453703962
106	0.44341762
107	0.4419314314
108	0.4403694894
109	0.4386967076
110	0.4369479632
111	0.4352688337
112	0.4339859794
113	0.4325011161
114	0.4316382533
115	0.4302486747
116	0.4286651786
117	0.4272467913
118	0.4259320243
119	0.424038365
120	0.4223285086
121	0.4209708426
122	0.4198548061
123	0.4181810128
124	0.4166520647
125	0.4153734654
126	0.4136670968
127	0.4121419852
128	0.4109093192
129	0.4095214146
130	0.407998012
131	0.406762486
132	0.4050929478
133	0.4034394531
134	0.4018466448
135	0.4001975446
136	0.398557966
137	0.396878418
138	0.3951035156
139	0.3937506627
140	0.3923428781
141	0.3911316964
142	0.3899998954
143	0.3887214007
144	0.3872573242
145	0.3856894531
146	0.3843058733
147	0.383148298
148	0.3816730259
149	0.3806667829
150	0.3791156529
151	0.3781632603
152	0.3768172084
153	0.3755977958
154	0.3740363072
155	0.3728256487
156	0.3711493094
157	0.3695725446
158	0.3682051828
159	0.3666703753
160	0.3653515625
161	0.3638252651
162	0.36224006
163	0.3610749512
164	0.3599756557
165	0.3585852748
166	0.3569911761
167	0.3558611189
168	0.3549249442
169	0.3538972168
170	0.3526472168
171	0.3514731794
172	0.3502776925
173	0.3490043945
174	0.3479633092
175	0.3468733608
176	0.3455209612
177	0.3445944127
178	0.3434756557
179	0.3425252511
180	0.3412727051
181	0.3401172921
182	0.3388362863
183	0.3375658133
184	0.3366439383
185	0.3355352609
186	0.3344320592
187	0.3332708915
188	0.3320266462
189	0.33088637
190	0.3299275251
191	0.3285701032
192	0.3273219169
193	0.3260135672
194	0.3246972307
195	0.323396589
196	0.32218607
197	0.3207226214
198	0.3198066755
199	0.3188987165
200	0.3177755301
201	0.317028111
202	0.3160048479
203	0.3149836426
204	0.3137498954
205	0.3125567453
206	0.3115494559
207	0.3104711217
208	0.3094586356
209	0.3082940151
210	0.3072519531
211	0.3061748396
212	0.3050149275
213	0.3039199916
214	0.3029449289
215	0.3020051967
216	0.3009594378
217	0.2998887068
218	0.299095738
219	0.2980864258
220	0.2970969238
221	0.2957451869
222	0.2945365862
223	0.2933659668
224	0.2924621408
225	0.2912080078
226	0.2906235177
227	0.2896582206
228	0.2886308768
229	0.2878973563
230	0.2868894915
231	0.285826137
232	0.2846276507
233	0.2836659633
234	0.2827061593
235	0.2818210275
236	0.2807259173
237	0.2798076346
238	0.2790866525
239	0.2782352644
240	0.2771245117
241	0.2763725237
242	0.2754150216
243	0.2743727155
244	0.2733420933
245	0.2722720947
246	0.2714109584
247	0.2704271066
248	0.2698708147
249	0.2689802769
250	0.268340768
251	0.2672352992
252	0.2662429548
253	0.2652147042
254	0.2643302525
255	0.2635315639
256	0.262625558
257	0.2616298654
258	0.2606933245
259	0.2595997314
260	0.2587216274
261	0.2579648961
262	0.2570095564
263	0.2558839111
264	0.254873448
265	0.2542750419
266	0.2534141497
267	0.252409668
268	0.2514871303
269	0.2505299595
270	0.2496564767
271	0.2490303781
272	0.2482951311
273	0.2475228795
274	0.246659232
275	0.2456444789
276	0.2446871164
277	0.243844308
278	0.2433530099
279	0.2425973772
280	0.2416880755
281	0.2407814244
282	0.240037371
283	0.2394073661
284	0.2389918213
285	0.2384095633
286	0.2379426793
287	0.2371421945
288	0.2363093785
289	0.2353193185
290	0.2343696289
291	0.2333567243
292	0.2326473389
293	0.2319408133
294	0.2311743338
295	0.2304792829
296	0.2296560582
297	0.2287928816
298	0.2280228795
299	0.2270977783
