iter	Passed	Remaining
0	14	4318
1	28	4306
2	41	4083
3	53	3922
4	65	3865
5	77	3798
6	88	3711
7	99	3637
8	110	3588
9	122	3547
10	133	3520
11	145	3489
12	155	3437
13	166	3396
14	175	3341
15	186	3306
16	196	3279
17	207	3251
18	218	3231
19	228	3201
20	238	3172
21	249	3151
22	260	3131
23	270	3107
24	280	3086
25	290	3065
26	300	3041
27	312	3032
28	323	3021
29	334	3009
30	345	2996
31	355	2979
32	365	2957
33	375	2939
34	386	2924
35	397	2913
36	408	2904
37	419	2889
38	429	2872
39	439	2859
40	450	2848
41	461	2837
42	472	2826
43	483	2814
44	494	2802
45	505	2790
46	515	2775
47	526	2766
48	538	2756
49	549	2749
50	560	2737
51	570	2720
52	580	2706
53	590	2691
54	601	2678
55	611	2664
56	621	2651
57	631	2636
58	643	2626
59	653	2614
60	664	2605
61	677	2600
62	692	2603
63	708	2611
64	722	2611
65	739	2623
66	755	2627
67	770	2628
68	788	2638
69	799	2628
70	810	2614
71	820	2598
72	830	2582
73	840	2566
74	850	2551
75	860	2536
76	870	2520
77	880	2505
78	890	2490
79	900	2476
80	910	2462
81	920	2448
82	930	2433
83	941	2421
84	952	2408
85	966	2404
86	979	2396
87	991	2387
88	1003	2378
89	1013	2365
90	1024	2351
91	1034	2338
92	1044	2324
93	1054	2310
94	1066	2301
95	1079	2292
96	1089	2279
97	1099	2266
98	1109	2253
99	1120	2241
100	1134	2234
101	1145	2222
102	1155	2210
103	1165	2197
104	1175	2183
105	1186	2171
106	1197	2160
107	1209	2149
108	1219	2137
109	1230	2125
110	1241	2114
111	1251	2101
112	1262	2088
113	1272	2076
114	1282	2063
115	1293	2052
116	1304	2040
117	1316	2029
118	1328	2020
119	1340	2010
120	1352	2001
121	1364	1990
122	1374	1978
123	1385	1967
124	1396	1955
125	1408	1944
126	1419	1933
127	1430	1922
128	1443	1913
129	1458	1906
130	1469	1895
131	1479	1882
132	1490	1870
133	1500	1858
134	1510	1846
135	1521	1835
136	1532	1823
137	1542	1811
138	1553	1799
139	1563	1786
140	1573	1774
141	1583	1761
142	1593	1749
143	1603	1737
144	1613	1725
145	1624	1713
146	1635	1702
147	1647	1691
148	1657	1679
149	1668	1668
150	1678	1656
151	1689	1644
152	1700	1633
153	1711	1622
154	1721	1610
155	1731	1598
156	1743	1587
157	1760	1581
158	1771	1571
159	1782	1559
160	1792	1547
161	1802	1535
162	1814	1524
163	1824	1512
164	1834	1501
165	1845	1489
166	1855	1477
167	1865	1465
168	1875	1453
169	1885	1442
170	1897	1431
171	1908	1420
172	1919	1409
173	1932	1399
174	1945	1389
175	1956	1378
176	1966	1366
177	1976	1354
178	1986	1343
179	1997	1331
180	2007	1320
181	2018	1308
182	2028	1297
183	2039	1285
184	2049	1274
185	2059	1262
186	2069	1250
187	2079	1238
188	2089	1227
189	2100	1216
190	2110	1204
191	2120	1192
192	2131	1181
193	2141	1170
194	2152	1158
195	2162	1147
196	2173	1136
197	2184	1125
198	2194	1113
199	2204	1102
200	2214	1090
201	2224	1078
202	2234	1067
203	2244	1056
204	2254	1044
205	2265	1033
206	2275	1022
207	2285	1011
208	2296	999
209	2307	988
210	2317	977
211	2327	966
212	2338	955
213	2348	943
214	2360	933
215	2371	922
216	2382	911
217	2394	900
218	2405	889
219	2417	878
220	2427	867
221	2438	856
222	2449	845
223	2460	834
224	2471	823
225	2482	812
226	2493	801
227	2504	790
228	2515	779
229	2526	768
230	2536	757
231	2546	746
232	2557	735
233	2567	724
234	2577	713
235	2588	702
236	2598	690
237	2608	679
238	2618	668
239	2628	657
240	2639	646
241	2649	635
242	2659	623
243	2669	612
244	2680	601
245	2692	591
246	2702	579
247	2713	568
248	2726	558
249	2736	547
250	2746	536
251	2756	525
252	2767	514
253	2777	503
254	2787	491
255	2797	480
256	2807	469
257	2817	458
258	2828	447
259	2838	436
260	2848	425
261	2858	414
262	2868	403
263	2879	392
264	2889	381
265	2899	370
266	2910	359
267	2920	348
268	2930	337
269	2940	326
270	2950	315
271	2961	304
272	2971	293
273	2981	282
274	2991	271
275	3002	261
276	3012	250
277	3022	239
278	3032	228
279	3042	217
280	3052	206
281	3062	195
282	3072	184
283	3083	173
284	3096	162
285	3108	152
286	3120	141
287	3133	130
288	3145	119
289	3158	108
290	3170	98
291	3183	87
292	3196	76
293	3210	65
294	3228	54
295	3240	43
296	3252	32
297	3264	21
298	3275	10
299	3286	0
