iter	Passed	Remaining
0	20	5995
1	40	6048
2	60	5975
3	80	5944
4	101	5968
5	119	5845
6	136	5724
7	155	5672
8	172	5585
9	190	5514
10	208	5477
11	225	5423
12	245	5422
13	263	5385
14	283	5387
15	302	5369
16	320	5333
17	338	5304
18	355	5260
19	373	5229
20	390	5188
21	408	5161
22	424	5111
23	443	5103
24	461	5076
25	478	5039
26	498	5036
27	517	5024
28	535	5006
29	554	4988
30	571	4956
31	589	4938
32	607	4912
33	622	4873
34	638	4837
35	656	4812
36	674	4795
37	692	4772
38	710	4752
39	727	4729
40	743	4696
41	761	4675
42	778	4654
43	797	4640
44	815	4622
45	832	4595
46	849	4571
47	866	4548
48	883	4527
49	902	4510
50	920	4495
51	940	4484
52	957	4464
53	976	4449
54	995	4435
55	1014	4421
56	1032	4401
57	1049	4379
58	1068	4364
59	1088	4352
60	1108	4342
61	1126	4325
62	1146	4312
63	1163	4290
64	1181	4272
65	1200	4254
66	1218	4236
67	1237	4221
68	1255	4202
69	1272	4180
70	1290	4162
71	1308	4143
72	1326	4123
73	1344	4105
74	1360	4082
75	1379	4065
76	1397	4047
77	1415	4027
78	1433	4009
79	1449	3985
80	1465	3962
81	1483	3943
82	1501	3925
83	1518	3904
84	1534	3881
85	1551	3861
86	1570	3845
87	1587	3825
88	1603	3801
89	1620	3782
90	1637	3761
91	1655	3741
92	1672	3723
93	1690	3705
94	1709	3688
95	1726	3668
96	1743	3648
97	1760	3628
98	1776	3607
99	1793	3586
100	1810	3567
101	1828	3550
102	1845	3529
103	1863	3512
104	1880	3492
105	1899	3475
106	1915	3455
107	1932	3436
108	1951	3418
109	1969	3402
110	1987	3383
111	2005	3366
112	2022	3346
113	2040	3329
114	2058	3311
115	2074	3290
116	2091	3271
117	2110	3255
118	2128	3237
119	2144	3217
120	2168	3207
121	2186	3189
122	2204	3171
123	2219	3150
124	2236	3130
125	2252	3111
126	2269	3091
127	2285	3070
128	2301	3051
129	2319	3032
130	2338	3016
131	2354	2996
132	2372	2979
133	2389	2960
134	2406	2941
135	2424	2924
136	2443	2906
137	2462	2890
138	2481	2874
139	2497	2854
140	2517	2838
141	2537	2823
142	2556	2807
143	2574	2789
144	2592	2771
145	2609	2752
146	2624	2732
147	2642	2713
148	2657	2693
149	2675	2675
150	2691	2655
151	2709	2637
152	2726	2619
153	2744	2601
154	2761	2583
155	2777	2563
156	2796	2547
157	2814	2529
158	2833	2512
159	2852	2496
160	2869	2477
161	2886	2458
162	2902	2439
163	2918	2419
164	2935	2401
165	2953	2383
166	2973	2367
167	2991	2350
168	3010	2333
169	3028	2315
170	3047	2299
171	3065	2281
172	3082	2262
173	3099	2244
174	3117	2226
175	3132	2207
176	3148	2188
177	3168	2171
178	3187	2154
179	3207	2138
180	3226	2121
181	3244	2103
182	3261	2084
183	3278	2066
184	3296	2049
185	3313	2030
186	3330	2012
187	3347	1994
188	3365	1976
189	3381	1957
190	3399	1939
191	3417	1922
192	3436	1905
193	3454	1887
194	3472	1869
195	3488	1851
196	3504	1832
197	3521	1814
198	3537	1795
199	3553	1776
200	3571	1758
201	3587	1740
202	3605	1722
203	3624	1705
204	3642	1687
205	3660	1670
206	3678	1652
207	3696	1634
208	3712	1616
209	3728	1598
210	3744	1579
211	3762	1561
212	3781	1544
213	3800	1527
214	3819	1510
215	3837	1492
216	3856	1475
217	3876	1458
218	3892	1439
219	3909	1421
220	3925	1403
221	3940	1384
222	3957	1366
223	3975	1348
224	3991	1330
225	4009	1312
226	4028	1295
227	4044	1277
228	4065	1260
229	4084	1242
230	4099	1224
231	4117	1206
232	4134	1189
233	4151	1170
234	4170	1153
235	4188	1135
236	4206	1118
237	4223	1100
238	4240	1082
239	4258	1064
240	4276	1046
241	4294	1029
242	4314	1012
243	4331	994
244	4349	976
245	4366	958
246	4381	940
247	4397	922
248	4414	904
249	4431	886
250	4450	868
251	4468	851
252	4485	833
253	4503	815
254	4523	798
255	4542	780
256	4560	763
257	4578	745
258	4596	727
259	4612	709
260	4628	691
261	4645	673
262	4662	656
263	4682	638
264	4702	621
265	4722	603
266	4741	585
267	4760	568
268	4778	550
269	4795	532
270	4812	515
271	4830	497
272	4850	479
273	4868	461
274	4887	444
275	4904	426
276	4921	408
277	4939	390
278	4958	373
279	4977	355
280	4995	337
281	5012	319
282	5030	302
283	5046	284
284	5063	266
285	5081	248
286	5099	230
287	5117	213
288	5136	195
289	5154	177
290	5173	159
291	5191	142
292	5209	124
293	5224	106
294	5241	88
295	5259	71
296	5278	53
297	5297	35
298	5313	17
299	5331	0
