iter	Passed	Remaining
0	134	80726
1	239	71668
2	346	69012
3	447	66734
4	551	65617
5	656	65022
6	769	65191
7	864	63954
8	962	63202
9	1064	62826
10	1153	61761
11	1257	61622
12	1365	61642
13	1469	61519
14	1563	60986
15	1673	61084
16	1764	60496
17	1869	60442
18	1969	60214
19	2066	59941
20	2157	59475
21	2249	59103
22	2338	58671
23	2431	58348
24	2521	57990
25	2618	57817
26	2710	57518
27	2805	57304
28	2895	57004
29	3005	57100
30	3105	56995
31	3196	56733
32	3293	56587
33	3386	56374
34	3480	56178
35	3571	55953
36	3662	55732
37	3754	55521
38	3845	55318
39	3935	55091
40	4029	54936
41	4119	54725
42	4208	54519
43	4300	54343
44	4392	54172
45	4482	53988
46	4575	53835
47	4663	53627
48	4756	53481
49	4845	53304
50	4935	53130
51	5025	52963
52	5114	52784
53	5203	52612
54	5294	52463
55	5384	52304
56	5475	52160
57	5568	52039
58	5656	51871
59	5749	51745
60	5838	51590
61	5931	51468
62	6022	51335
63	6119	51247
64	6217	51173
65	6315	51096
66	6407	50971
67	6503	50876
68	6593	50742
69	6702	50745
70	6808	50726
71	6918	50733
72	7015	50647
73	7110	50541
74	7202	50415
75	7295	50300
76	7397	50245
77	7487	50106
78	7578	49980
79	7670	49856
80	7762	49740
81	7852	49606
82	7946	49496
83	8037	49374
84	8127	49245
85	8217	49115
86	8315	49032
87	8409	48925
88	8504	48830
89	8596	48713
90	8691	48616
91	8792	48549
92	8885	48438
93	8977	48324
94	9067	48198
95	9159	48088
96	9246	47950
97	9337	47832
98	9434	47745
99	9525	47629
100	9616	47508
101	9711	47414
102	9806	47317
103	9897	47202
104	9989	47092
105	10078	46967
106	10167	46848
107	10261	46745
108	10350	46626
109	10440	46508
110	10532	46400
111	10621	46280
112	10714	46174
113	10803	46057
114	10896	45954
115	10990	45855
116	11079	45738
117	11168	45622
118	11258	45508
119	11360	45441
120	11451	45331
121	11539	45213
122	11630	45105
123	11723	45001
124	11819	44913
125	11910	44805
126	12005	44713
127	12105	44638
128	12194	44525
129	12287	44423
130	12379	44321
131	12474	44226
132	12563	44115
133	12657	44017
134	12748	43912
135	12838	43801
136	12939	43729
137	13038	43649
138	13128	43540
139	13219	43436
140	13316	43348
141	13407	43244
142	13496	43133
143	13585	43022
144	13676	42914
145	13765	42805
146	13870	42742
147	13964	42648
148	14054	42541
149	14145	42437
150	14235	42329
151	14326	42226
152	14432	42165
153	14547	42129
154	14647	42052
155	14737	41945
156	14837	41864
157	14927	41760
158	15016	41650
159	15106	41544
160	15199	41445
161	15296	41356
162	15402	41293
163	15497	41200
164	15586	41092
165	15683	41002
166	15773	40897
167	15866	40799
168	15963	40710
169	16073	40655
170	16175	40581
171	16267	40479
172	16356	40371
173	16445	40263
174	16534	40156
175	16627	40057
176	16717	39952
177	16809	39851
178	16897	39741
179	16988	39640
180	17079	39537
181	17169	39434
182	17259	39329
183	17357	39243
184	17447	39139
185	17538	39036
186	17635	38949
187	17723	38839
188	17813	38737
189	17920	38671
190	18011	38568
191	18108	38480
192	18197	38374
193	18290	38278
194	18389	38192
195	18481	38094
196	18570	37989
197	18659	37885
198	18749	37781
199	18844	37689
200	18940	37598
201	19035	37506
202	19126	37404
203	19222	37313
204	19317	37221
205	19410	37124
206	19501	37024
207	19589	36919
208	19680	36818
209	19771	36719
210	19861	36617
211	19955	36522
212	20055	36439
213	20149	36345
214	20238	36241
215	20331	36145
216	20430	36059
217	20521	35959
218	20612	35860
219	20718	35787
