iter	Passed	Remaining
0	55	5492
1	114	5600
2	170	5518
3	225	5421
4	280	5338
5	333	5225
6	388	5163
7	450	5180
8	503	5086
9	558	5024
10	614	4971
11	669	4907
12	733	4908
13	787	4837
14	841	4771
15	900	4728
16	954	4658
17	1010	4602
18	1065	4542
19	1120	4482
20	1175	4423
21	1231	4365
22	1286	4308
23	1344	4257
24	1399	4197
25	1454	4139
26	1509	4082
27	1563	4020
28	1624	3976
29	1697	3961
30	1759	3916
31	1818	3863
32	1872	3801
33	1928	3743
34	1978	3673
35	2032	3614
36	2090	3560
37	2148	3505
38	2207	3452
39	2259	3389
40	2318	3336
41	2376	3281
42	2428	3219
43	2483	3160
44	2540	3105
45	2588	3038
46	2646	2983
47	2707	2932
48	2763	2875
49	2821	2821
50	2869	2757
51	2928	2703
52	2986	2648
53	3037	2587
54	3091	2529
55	3145	2471
56	3193	2409
57	3246	2351
58	3301	2293
59	3359	2239
60	3413	2182
61	3469	2126
62	3521	2068
63	3573	2010
64	3629	1954
65	3691	1901
66	3750	1847
67	3806	1791
68	3861	1734
69	3920	1680
70	3972	1622
71	4024	1565
72	4083	1510
73	4142	1455
74	4197	1399
75	4248	1341
76	4307	1286
77	4367	1231
78	4424	1176
79	4478	1119
80	4539	1064
81	4597	1009
82	4654	953
83	4709	897
84	4768	841
85	4827	785
86	4880	729
87	4934	672
88	4982	615
89	5033	559
90	5087	503
91	5147	447
92	5201	391
93	5253	335
94	5303	279
95	5350	222
96	5408	167
97	5464	111
98	5522	55
99	5577	0
