iter	Logloss
0	0.3402323172
1	0.2910097656
2	0.2612463553
3	0.2495391323
4	0.236743321
5	0.2324951172
6	0.2277789481
7	0.2201739851
8	0.21688637
9	0.2153315604
10	0.2144005476
11	0.2104957101
12	0.2063761858
13	0.2055471191
14	0.204635376
15	0.2042038225
16	0.2034200439
17	0.1966171177
18	0.1950675746
19	0.1949266009
20	0.1926481759
21	0.1856616734
22	0.1854837995
23	0.1853728376
24	0.1853305664
25	0.1852793143
26	0.1843919503
27	0.1843832485
28	0.1843617815
29	0.1839726737
30	0.1791299526
31	0.1763702567
32	0.1743712333
33	0.1742434605
34	0.174241333
35	0.1742347935
36	0.1742337646
37	0.1742211565
38	0.17422018
39	0.1740685861
40	0.1727203369
41	0.1726834019
42	0.1726199951
43	0.1720905762
44	0.1720823626
45	0.1715338135
46	0.1706854597
47	0.1684536656
48	0.1622401472
49	0.1604369594
50	0.1599551304
51	0.1599211251
52	0.1599208984
53	0.159890346
54	0.1598766741
55	0.1594957624
56	0.1591934466
57	0.1591441825
58	0.1591095494
59	0.1591094273
60	0.1562810407
61	0.1562290388
62	0.1485944127
63	0.1485083705
64	0.1484881941
65	0.1484871477
66	0.1479741908
67	0.1473030308
68	0.1472975377
69	0.1450923723
70	0.1450569196
71	0.1448575439
72	0.1447798549
73	0.1446395176
74	0.1446058001
75	0.1445876901
76	0.1443693673
77	0.1443049404
78	0.1442043719
79	0.1441927665
80	0.1441653094
81	0.1433902065
82	0.1423103115
83	0.1423073207
84	0.1416665301
85	0.141647862
86	0.1416455165
87	0.1416439907
88	0.141519322
89	0.1404010533
90	0.1380646798
91	0.1380575213
92	0.1380420794
93	0.1379853167
94	0.1377969884
95	0.1377880772
96	0.1363584333
97	0.1363509347
98	0.1363317784
99	0.1363311506
100	0.1360205078
101	0.1352038574
102	0.1352010236
103	0.1346599383
104	0.1346495623
105	0.1341730259
106	0.1341531808
107	0.1340449916
108	0.13382707
109	0.133806972
110	0.1338009644
111	0.129804548
112	0.1297367379
113	0.1290560913
114	0.1290438232
115	0.1290429077
116	0.1289716099
117	0.128967041
118	0.1286597552
119	0.1286512015
120	0.1286499023
121	0.1286493182
122	0.1286480974
123	0.1286445051
124	0.1286404681
125	0.1286395089
126	0.1286389771
127	0.128596392
128	0.1285087978
129	0.1285051444
130	0.1284944371
131	0.1283287964
132	0.1283052281
133	0.1282401036
134	0.1282388567
135	0.1282382987
136	0.1282209647
137	0.1282205287
138	0.1282185407
139	0.1282155064
140	0.1282148525
141	0.1282133789
142	0.1282122367
143	0.1282117833
144	0.1277438354
145	0.1276331438
146	0.1275538417
147	0.1275462821
148	0.1272515433
149	0.1272493373
150	0.127249067
151	0.1272456752
152	0.1272411412
153	0.1272399379
154	0.1271603917
155	0.1271429879
156	0.1271162458
157	0.127101859
158	0.1271015974
159	0.127101484
160	0.1270954241
161	0.1270932181
162	0.1270928345
163	0.1270926252
164	0.1270924334
165	0.1270915702
166	0.1246460658
167	0.1246176496
168	0.1246174665
169	0.1246108747
170	0.1244852557
171	0.1244680961
172	0.1226860264
173	0.1211897845
174	0.1205168108
175	0.120424578
176	0.1203761248
177	0.1203719395
178	0.1203529663
179	0.1203524432
180	0.1203518415
181	0.1203489118
182	0.1203477958
183	0.1203471157
184	0.1203463832
185	0.1203463309
186	0.1203457642
187	0.1203395037
188	0.1203394252
189	0.1201856951
190	0.1201823469
191	0.1199486694
192	0.1198901106
193	0.1198799438
194	0.1198728463
195	0.1192928118
196	0.1192858364
197	0.119275347
198	0.1192530082
199	0.1192529297
200	0.1192511597
201	0.1192508109
202	0.1192360927
203	0.1192357265
204	0.1192345232
205	0.1192297974
206	0.1189592111
207	0.1189127895
208	0.118798584
209	0.1187925938
210	0.1187921579
211	0.1187915388
212	0.1187779628
213	0.118772243
214	0.1187720075
215	0.1186868984
216	0.118684736
217	0.1186845965
218	0.1186844744
219	0.1186828613
220	0.1186826695
221	0.118682251
222	0.1186820156
223	0.1186349051
224	0.1186347046
225	0.1186346087
226	0.1186345215
227	0.118634225
228	0.1186340594
229	0.1186339896
230	0.1186311733
231	0.1186309902
232	0.1186309553
233	0.1186306414
234	0.1186305368
235	0.1186304321
236	0.1186303711
237	0.1186285662
238	0.1182626866
239	0.1182608555
240	0.118106611
241	0.118088344
242	0.1180870449
243	0.1180868705
244	0.1180866089
245	0.1180864694
246	0.1180864083
247	0.1180229143
248	0.1180170986
249	0.1170830078
250	0.116637582
251	0.1166348354
252	0.1166345564
253	0.1166270839
254	0.1165972552
255	0.1165364031
256	0.1165319999
257	0.1165312326
258	0.1165307617
259	0.1165305263
260	0.1165302037
261	0.1165299334
262	0.1165299334
263	0.1165297154
264	0.1165295149
265	0.1165286342
266	0.1165082136
267	0.116507115
268	0.1165068621
269	0.1165046735
270	0.1165043073
271	0.1164809919
272	0.1163916016
273	0.1163560268
274	0.1163553205
275	0.1163461304
276	0.1162608207
277	0.1162148699
278	0.116211635
279	0.1162113211
280	0.1160215105
281	0.116021031
282	0.1160208566
283	0.1160203509
284	0.1160126081
285	0.1160125907
286	0.1160125035
287	0.1160123029
288	0.1159956752
289	0.1159956403
290	0.1159955619
291	0.1159954747
292	0.1159954049
293	0.1159954136
294	0.1159953613
295	0.1159951259
296	0.1159950387
297	0.1159948905
298	0.1159885515
299	0.1159878191
300	0.1159877145
301	0.1159876186
302	0.1159876099
303	0.1159876099
304	0.1159875575
305	0.1159659511
306	0.1159656634
307	0.1159655849
308	0.1159654279
309	0.1159653756
310	0.1159653669
311	0.1159652972
312	0.1159652448
313	0.1159651751
314	0.1159650792
315	0.1159649048
316	0.1159648438
317	0.1159648263
318	0.1159648176
319	0.1156876221
320	0.1156860352
321	0.1156860264
322	0.1156859916
323	0.1156847709
324	0.1156824166
325	0.1156824254
326	0.1156618565
327	0.11566088
328	0.1156608625
329	0.1156607753
330	0.1156584473
331	0.1156583339
332	0.1156582554
333	0.1156581857
334	0.1156581334
335	0.1156551514
336	0.115654262
337	0.1156542184
338	0.1156472778
339	0.1156472168
340	0.1156471645
341	0.1156372245
342	0.1156133161
343	0.1155792149
344	0.1155561349
345	0.1155557338
346	0.1155556466
347	0.1155555507
348	0.1155440412
349	0.1155426113
350	0.1155421927
351	0.1154516689
352	0.1154391741
353	0.1154391044
354	0.1154384766
355	0.1154376831
356	0.1154376569
357	0.1154373431
358	0.1154373518
359	0.1154373343
360	0.1154373082
361	0.1154372559
362	0.1154341954
363	0.1154246129
364	0.1154245257
365	0.1154244995
366	0.1154104527
367	0.1154104614
368	0.1154102958
369	0.1154089181
370	0.1154058053
371	0.1154057443
372	0.1154056571
373	0.1154056135
374	0.1149312483
375	0.1148562796
376	0.1148463658
377	0.1148450143
378	0.1148436628
379	0.1148436541
380	0.1146005685
381	0.1146003941
382	0.1145975342
383	0.1145974906
384	0.1145766602
385	0.1145758318
386	0.1145757969
387	0.1145755354
388	0.1142174944
389	0.1141493705
390	0.1134581735
391	0.1134300101
392	0.1134298706
393	0.1134108015
394	0.1134101737
395	0.1134093105
396	0.1134093366
397	0.1134040963
398	0.1133818708
399	0.1133770229
400	0.1133768136
401	0.1133766741
402	0.1133763602
403	0.1133755406
404	0.1133753139
405	0.1133751657
406	0.1133748343
407	0.1133634556
408	0.1133601423
409	0.1130486101
410	0.1129813407
411	0.112979344
412	0.1129789516
413	0.1129236799
414	0.1129159459
