iter	Passed	Remaining
0	117	70189
1	228	68231
2	339	67629
3	440	65654
4	538	64098
5	631	62535
6	731	61992
7	841	62241
8	933	61332
9	1024	60465
10	1114	59679
11	1209	59281
12	1303	58865
13	1393	58336
14	1482	57807
15	1570	57315
16	1661	56968
17	1756	56781
18	1851	56605
19	1941	56298
20	2032	56036
21	2136	56141
22	2235	56070
23	2327	55867
24	2417	55596
25	2508	55372
26	2618	55570
27	2713	55433
28	2803	55191
29	2893	54982
30	2993	54938
31	3088	54829
32	3183	54703
33	3275	54521
34	3362	54278
35	3454	54121
36	3543	53918
37	3632	53723
38	3720	53513
39	3810	53345
40	3907	53269
41	3997	53114
42	4086	52929
43	4180	52822
44	4269	52654
45	4363	52546
46	4456	52433
47	4556	52405
48	4665	52467
49	4764	52412
50	4858	52302
51	4948	52151
52	5036	51975
53	5128	51849
54	5217	51696
55	5310	51587
56	5401	51456
57	5491	51315
58	5581	51180
59	5666	51002
60	5766	50951
61	5856	50816
62	5966	50857
63	6059	50752
64	6165	50746
65	6276	50780
66	6388	50823
67	6487	50758
68	6580	50643
69	6685	50618
70	6774	50471
71	6865	50346
72	6953	50199
73	7046	50087
74	7135	49949
75	7226	49825
76	7322	49732
77	7413	49611
78	7503	49484
79	7593	49360
80	7682	49225
81	7778	49139
82	7878	49072
83	7964	48927
84	8059	48829
85	8148	48702
86	8236	48564
87	8323	48426
88	8425	48377
89	8545	48422
90	8654	48408
91	8745	48291
92	8837	48179
93	8928	48061
94	9023	47965
95	9111	47837
96	9216	47791
97	9306	47671
98	9395	47546
99	9484	47423
100	9578	47323
101	9671	47220
102	9765	47121
103	9864	47044
104	9955	46931
105	10052	46846
106	10139	46719
107	10231	46609
108	10323	46503
109	10415	46396
110	10504	46275
111	10611	46234
112	10701	46122
113	10798	46033
114	10887	45917
115	10973	45787
116	11066	45686
117	11156	45571
118	11250	45473
119	11340	45360
120	11432	45255
121	11522	45147
122	11611	45029
123	11699	44910
124	11786	44788
125	11875	44674
126	11964	44561
127	12053	44448
128	12146	44347
129	12234	44233
130	12323	44120
131	12415	44019
132	12505	43909
133	12606	43838
134	12701	43749
135	12799	43669
136	12889	43562
137	12978	43450
138	13066	43336
139	13154	43222
140	13245	43118
141	13335	43010
142	13425	42903
143	13513	42791
144	13610	42709
145	13702	42607
146	13796	42514
147	13901	42455
148	14005	42392
149	14098	42294
150	14185	42180
151	14273	42068
152	14362	41960
153	14450	41849
154	14542	41751
155	14634	41651
156	14726	41553
157	14815	41444
158	14902	41334
159	14990	41224
160	15080	41119
161	15169	41014
162	15261	40914
163	15348	40805
164	15438	40702
165	15528	40598
166	15632	40532
167	15721	40427
168	15813	40328
169	15902	40223
170	15992	40121
171	16083	40021
172	16186	39950
173	16289	39880
174	16387	39798
175	16485	39714
176	16579	39621
177	16667	39514
178	16759	39417
179	16853	39324
180	16941	39217
181	17032	39117
182	17122	39016
183	17212	38916
184	17302	38812
185	17390	38707
186	17478	38602
187	17570	38506
188	17662	38408
189	17761	38328
190	17851	38227
191	17949	38142
192	18042	38047
193	18131	37945
194	18220	37843
195	18317	37756
196	18423	37687
197	18530	37622
198	18639	37559
199	18734	37468
200	18828	37375
201	18916	37270
202	19005	37169
203	19093	37063
204	19182	36960
205	19271	36858
206	19374	36783
207	19485	36722
208	19598	36664
209	19699	36585
210	19792	36488
211	19881	36386
212	19971	36285
213	20061	36186
214	20150	36083
215	20243	35987
216	20334	35889
217	20422	35786
218	20511	35684
219	20608	35597
220	20697	35494
221	20787	35395
222	20876	35293
223	20968	35197
224	21056	35094
225	21206	35094
226	21313	35021
227	21420	34949
228	21521	34867
229	21629	34794
230	21725	34704
231	21818	34609
232	21922	34530
233	22025	34450
234	22123	34361
235	22221	34274
236	22315	34179
237	22409	34085
238	22505	33993
239	22603	33905
240	22701	33817
241	22797	33725
242	22896	33638
243	22991	33544
244	23088	33454
245	23208	33397
246	23327	33338
247	23437	33265
248	23547	33193
249	23666	33132
250	23766	33045
251	23858	32947
252	23954	32853
253	24049	32760
254	24145	32667
255	24240	32573
256	24332	32475
257	24427	32380
258	24518	32280
259	24608	32180
260	24703	32085
261	24794	31986
262	24826	31811
263	24918	31714
264	25009	31616
265	25103	31521
266	25199	31428
267	25297	31338
268	25400	31254
269	25492	31157
270	25582	31058
271	25674	30960
272	25774	30872
273	25878	30790
274	25969	30690
275	26062	30594
276	26161	30505
277	26255	30410
278	26347	30314
279	26443	30221
280	26545	30135
281	26637	30038
282	26727	29938
283	26821	29843
284	26914	29747
285	27007	29651
286	27098	29553
287	27191	29457
288	27285	29362
289	27375	29263
290	27467	29166
291	27559	29069
292	27650	28971
293	27739	28871
294	27831	28774
295	27922	28676
296	28015	28581
297	28106	28484
298	28198	28387
299	28287	28287
300	28381	28193
301	28488	28110
302	28604	28038
303	28686	27932
304	28785	27841
305	28877	27744
306	28964	27643
307	29054	27544
308	29154	27456
309	29244	27357
310	29334	27259
311	29427	27163
312	29523	27071
313	29624	26982
314	29717	26887
315	29824	26803
316	29915	26707
317	29947	26557
318	30034	26456
319	30133	26367
320	30227	26272
321	30314	26172
322	30403	26073
323	30493	25975
324	30584	25879
325	30646	25758
326	30738	25662
327	30826	25563
328	30918	25467
329	31006	25369
330	31095	25271
331	31184	25173
332	31273	25075
333	31363	24977
334	31454	24882
335	31546	24786
336	31636	24689
337	31724	24591
338	31820	24499
339	31909	24401
340	31998	24303
341	32089	24207
342	32179	24111
343	32274	24018
