iter	Passed	Remaining
0	1081	647757
1	2151	643431
2	3208	638561
3	4257	634301
4	5389	641394
5	6455	639137
6	7533	638228
7	8619	637839
8	9663	634596
9	9972	588382
10	11024	590335
11	12101	592969
12	13211	596552
13	14279	597681
14	15343	598390
15	16400	598612
16	17443	598219
17	18492	597912
18	19553	597930
19	20624	598119
20	21679	597746
21	22777	598431
22	24150	605852
23	25221	605304
24	26251	603792
25	27287	602424
26	28327	601174
27	29369	599972
28	30413	598823
29	31462	597795
30	32520	596902
31	33584	596125
32	34623	594890
33	35667	593761
34	36722	592814
35	37805	592288
36	38868	591433
37	39946	590781
38	40992	589656
39	42027	588391
40	43086	587446
41	44178	586939
42	45184	585294
43	46305	585138
44	47383	584398
45	48448	583491
46	49505	582477
47	50558	581422
48	51607	580323
49	52705	579761
50	53800	579144
51	54841	577940
52	55886	576789
53	56918	575510
54	57953	574266
55	59000	573148
56	60086	572400
57	61121	571174
58	62154	569923
59	63221	568995
60	64339	568507
61	65512	568476
62	66678	568356
63	67839	568152
64	69036	568227
65	70196	567954
66	71349	567598
67	72522	567380
68	73694	567126
69	74862	566819
70	76023	566427
71	77183	566015
72	78315	565375
73	79388	564300
74	80425	562975
75	81464	561675
76	82497	560341
77	83549	559137
78	84582	557818
79	85617	556515
80	86661	555272
81	87694	553969
82	88733	552712
83	89775	551475
84	90834	550347
85	91876	549121
86	92907	547832
87	93944	546588
88	95013	545525
89	96062	544352
90	97095	543095
91	98126	541827
92	99167	540625
93	100214	539453
94	101244	538194
95	102273	536935
96	103306	535702
97	104355	534556
98	105399	533382
99	106456	532281
100	107496	531094
101	108531	529887
102	109569	528701
103	110603	527494
104	111645	526329
105	112692	525187
106	113719	523960
107	114758	522790
108	115797	521619
109	116838	520460
110	117870	519265
111	118903	518079
112	119943	516926
113	120459	513536
114	121503	512427
115	122529	511242
116	123563	510094
117	124595	508939
118	125631	507804
119	126681	506724
120	127749	505719
121	128829	504759
122	129881	503686
123	130932	502611
124	131973	501500
125	133067	500588
126	134273	500089
127	135469	499545
128	136685	499061
129	138003	498934
130	139347	498887
131	140745	499008
132	142094	498933
133	143445	498846
134	144849	498926
135	146202	498809
136	147447	498309
137	148599	497485
138	149649	496318
139	150737	495279
140	151812	494198
141	152962	493358
142	154057	492338
143	155124	491228
144	156185	490098
145	157225	488906
146	158257	487690
147	159390	486788
148	160536	485919
149	161580	484742
150	162609	483521
151	163643	482316
152	164687	481144
153	165740	480002
154	166794	478860
155	167094	475575
156	168139	474430
157	169191	473307
158	170358	472503
159	171405	471364
160	172451	470224
161	173519	469145
162	174579	468044
163	175640	466947
164	176777	466048
165	177887	465078
166	178928	463929
167	180002	462864
168	181094	461844
169	182127	460675
170	183179	459554
171	184239	458457
172	185274	457296
173	186311	456142
174	187359	455016
175	188407	453889
176	189444	452739
177	190485	451599
178	191535	450483
179	192581	449355
180	193617	448208
181	194678	447118
182	195718	445982
183	196774	444881
184	197814	443745
185	198861	442627
186	199909	441510
187	200977	440439
188	202050	439378
189	203078	438222
190	204121	437097
191	205159	435962
192	206210	434857
193	207243	433715
194	208276	432573
195	209310	431436
196	210344	430299
197	211411	429230
198	212460	428123
199	213538	427076
200	214634	426065
201	215707	425008
202	216787	423963
203	217822	422832
204	218876	421737
205	219976	420730
206	221071	419715
207	222172	418709
208	223249	417658
209	224336	416625
210	225376	415504
211	226417	414386
212	227460	413272
213	228513	412177
214	229581	411111
215	230644	410033
216	231730	408999
217	232863	408044
218	233938	406989
219	234997	405905
220	236039	404791
221	237099	403709
222	238161	402631
223	239206	401525
224	240254	400424
225	241299	399319
226	242367	398251
227	243416	397152
228	244473	396068
229	245509	394950
230	246563	393861
231	247631	392795
232	248718	391758
233	249810	390729
