iter	Passed	Remaining
0	108	65053
1	203	60895
2	302	60199
3	406	60562
4	497	59201
5	592	58703
6	691	58541
7	784	58082
8	874	57422
9	976	57612
10	1069	57254
11	1157	56702
12	1251	56503
13	1339	56077
14	1427	55676
15	1520	55493
16	1606	55076
17	1693	54769
18	1787	54658
19	1883	54621
20	1975	54460
21	2069	54382
22	2169	54421
23	2276	54645
24	2369	54503
25	2673	59032
26	2844	60375
27	2968	60633
28	3083	60710
29	3202	60846
30	3315	60858
31	3423	60774
32	3536	60765
33	3648	60741
34	3761	60725
35	3878	60769
36	4062	61817
37	4151	61392
38	4238	60975
39	4323	60535
40	4413	60175
41	4506	59873
42	4606	59667
43	4701	59407
44	4794	59135
45	4882	58804
46	4990	58714
47	5101	58669
48	5187	58328
49	5308	58397
50	5413	58273
51	5532	58303
52	5637	58179
53	5734	57984
54	5861	58086
55	5982	58117
56	6115	58259
57	6240	58318
58	6413	58809
59	6535	58823
60	6673	58971
61	6799	59006
62	6924	59022
63	7073	59244
64	7244	59626
65	7365	59594
66	7494	59623
67	7605	59499
68	7725	59453
69	7850	59439
70	7969	59381
71	8128	59612
72	8245	59522
73	8362	59439
74	8475	59329
75	8600	59299
76	8718	59219
77	8851	59235
78	8983	59242
79	9100	59156
80	9220	59082
81	9334	58967
82	9448	58852
83	9582	58866
84	9714	58860
85	9838	58800
86	9958	58722
87	10079	58642
88	10204	58592
89	10322	58493
90	10455	58482
91	10575	58393
92	10692	58290
93	10832	58310
94	10993	58440
95	11111	58333
96	11227	58222
97	11352	58151
98	11480	58099
99	11600	58001
100	11747	58037
101	11872	57964
102	12008	57945
103	12132	57863
104	12248	57744
105	12369	57646
106	12487	57537
107	12575	57290
108	12670	57073
109	12758	56834
110	12848	56602
111	12937	56371
112	13026	56139
113	13117	55922
114	13205	55694
115	13304	55510
116	13404	55334
117	13505	55165
118	13593	54947
119	13706	54825
120	13794	54608
121	13913	54513
122	14000	54296
123	14088	54081
124	14197	53950
125	14340	53947
126	14448	53813
127	14680	54134
128	14766	53915
129	14875	53781
130	14964	53575
131	15071	53436
132	15162	53239
133	15250	53036
134	15399	53043
135	15494	52863
136	15585	52673
137	15698	52557
138	15785	52354
139	15876	52166
140	15995	52071
141	16093	51908
142	16200	51772
143	16313	51659
144	16464	51662
145	16583	51566
146	16698	51457
147	16802	51316
148	16912	51191
149	17020	51060
150	17135	50951
151	17248	50836
152	17361	50723
153	17472	50601
154	17578	50467
155	17691	50353
156	17801	50229
157	17909	50101
158	18026	49998
159	18238	50156
160	18348	50029
161	18457	49903
162	18570	49785
163	18686	49679
164	18799	49562
165	18913	49448
166	19021	49319
167	19144	49229
168	19257	49111
169	19375	49009
170	19500	48922
171	19675	48958
172	19792	48851
173	19906	48736
174	20066	48732
175	20179	48615
176	20297	48507
177	20411	48390
178	20538	48304
179	20659	48204
180	20786	48118
181	20903	48008
182	21026	47912
183	21136	47787
184	21254	47679
185	21363	47550
186	21483	47446
187	21623	47386
188	21751	47301
189	21865	47182
190	21977	47062
191	22092	46946
192	22217	46852
193	22330	46732
194	22449	46626
195	22563	46508
196	22688	46414
197	22801	46294
198	22923	46192
199	23031	46063
200	23149	45953
201	23257	45824
202	23368	45701
203	23486	45591
204	23597	45467
205	23720	45368
206	23827	45236
207	23939	45117
208	24050	44993
209	24157	44863
210	24275	44753
211	24390	44639
212	24526	44562
213	24633	44432
214	24748	44316
215	24855	44187
216	24976	44083
217	25088	43961
218	25225	43885
219	25348	43784
220	25472	43683
221	25580	43556
222	25695	43439
223	25807	43320
224	25922	43204
225	26043	43098
226	26163	42990
227	26277	42874
228	26395	42762
229	26515	42655
230	26697	42647
231	27232	43196
232	27345	43071
233	27454	42941
234	27572	42825
235	27695	42716
236	27807	42591
237	27927	42477
238	28035	42345
239	28174	42261
240	28319	42186
241	28429	42056
242	28536	41924
243	28649	41800
244	28786	41711
245	28950	41660
246	29070	41545
247	29188	41428
248	29312	41319
249	29436	41210
250	29551	41089
251	29691	41001
252	29819	40898
253	29940	40785
254	30099	40723
255	30516	41006
256	30631	40882
257	30752	40764
258	30865	40637
259	30992	40528
260	31101	40395
261	31223	40280
262	31550	40428
263	31669	40306
264	32207	40715
265	32326	40590
266	32439	40458
267	32556	40331
268	32665	40194
269	32789	40075
270	32922	39968
271	33033	39834
272	33144	39700
273	33324	39648
274	33442	39522
275	33554	39390
276	33674	39266
277	33785	39132
278	33903	39007
279	34043	38906
280	34156	38776
281	34269	38644
282	34392	38524
283	34511	38399
284	34619	38264
285	34742	38143
286	34863	38021
287	34975	37890
288	35108	37780
289	35211	37640
290	35325	37510
291	35438	37380
292	35541	37239
293	35664	37119
294	35777	36990
295	35890	36860
296	35993	36720
297	36105	36590
298	36212	36455
299	36323	36323
300	36464	36222
301	36580	36095
302	36688	35961
303	37228	36248
304	37341	36116
305	37450	35981
306	37539	35827
307	37659	35702
308	37765	35565
309	37879	35436
310	37997	35309
311	38085	35156
312	38215	35041
313	38351	34932
314	38475	34810
315	38587	34679
316	38744	34588
317	38872	34472
318	38991	34346
319	39125	34234
320	39213	34083
321	39305	33934
322	39396	33785
323	39487	33637
324	39573	33484
325	39720	33385
326	39835	33257
327	40169	33311
328	40287	33184
329	40434	33082
330	40548	32953
331	40697	32852
332	40811	32722
333	40924	32592
334	41054	32475
335	41177	32353
336	41289	32223
337	41408	32097
338	41551	31991
339	41667	31863
340	41784	31736
341	41899	31608
342	42013	31479
343	42144	31362
344	42258	31234
345	42379	31110
346	42491	30980
347	42609	30855
348	42725	30728
349	42845	30603
350	42963	30478
351	43080	30352
352	43203	30229
353	43376	30142
354	43519	30034
355	43635	29907
356	43755	29783
357	43869	29655
358	43981	29525
359	44105	29403
360	44284	29318
361	44372	29173
362	44483	29042
363	44591	28911
364	44695	28776
365	44803	28645
366	44916	28516
367	45029	28388
368	45137	28257
369	45250	28128
370	45365	28001
371	45480	27875
372	45593	27747
373	45776	27661
374	45891	27534
375	46036	27425
376	46161	27304
377	46281	27181
378	46424	27070
379	46528	26937
380	46640	26808
381	46759	26684
382	46860	26550
383	46975	26423
384	47094	26299
385	47213	26175
386	47327	26048
387	47443	25922
388	47557	25796
389	47673	25670
390	47817	25559
391	47934	25434
392	48042	25305
393	48158	25179
394	48289	25061
395	48409	24938
396	48525	24812
397	48639	24686
398	48759	24563
399	48887	24443
400	49010	24322
401	49126	24196
402	49238	24069
403	49361	23947
404	49475	23821
405	49602	23701
406	49721	23577
407	49848	23458
408	49961	23331
409	50077	23206
410	50222	23095
411	50357	22978
412	50471	22852
413	50601	22733
414	50719	22609
415	50831	22483
416	50953	22361
417	51067	22235
418	51195	22115
419	51329	21998
420	51465	21882
421	51583	21757
422	51697	21632
423	51814	21507
424	52113	21458
425	52233	21334
426	52346	21208
427	52463	21083
428	52584	20960
429	52698	20834
430	52823	20712
431	52938	20587
432	53364	20581
433	53478	20454
434	53595	20329
435	53962	20297
436	54052	20161
437	54172	20036
438	54296	19912
439	54514	19823
440	54616	19691
441	54746	19570
442	54853	19440
443	55060	19345
444	55172	19217
445	55280	19087
446	55393	18960
447	55507	18832
448	55626	18707
449	55746	18582
450	55863	18456
451	55976	18328
452	56091	18201
453	56208	18075
454	56330	17951
455	56444	17824
456	56558	17697
457	56670	17570
458	56787	17444
459	56901	17317
460	57057	17203
461	57171	17077
462	57265	16944
463	57356	16811
464	57447	16678
465	57541	16546
466	57630	16413
467	57722	16280
468	57813	16148
469	57903	16015
470	58017	15890
471	58106	15757
472	58220	15632
473	58332	15506
474	58449	15381
475	58564	15256
476	58889	15185
477	59010	15061
478	59170	14947
479	59264	14816
480	59378	14690
481	59483	14562
482	59587	14434
483	59696	14307
484	59784	14175
485	59875	14044
486	59965	13913
487	60054	13783
488	60165	13657
489	60283	13532
490	60402	13409
491	60527	13286
492	60640	13161
493	60754	13036
494	60865	12910
495	60980	12786
496	61084	12659
497	61200	12535
498	61330	12413
499	61443	12288
500	61557	12164
501	61702	12045
502	61815	11920
503	61927	11795
504	62046	11672
505	62163	11548
506	62276	11423
507	62404	11301
508	62591	11190
509	62710	11066
510	62801	10938
511	62892	10809
512	62981	10681
513	63082	10554
514	63186	10428
515	63274	10300
516	63383	10175
517	63491	10050
518	63595	9925
519	63713	9802
520	63827	9678
521	63952	9556
522	64070	9432
523	64428	9344
524	64544	9220
525	64635	9093
526	64724	8965
527	64822	8839
528	64912	8712
529	64999	8584
530	65087	8457
531	65204	8334
532	65318	8210
533	65407	8084
534	65537	7962
535	65654	7839
536	65839	7724
537	65954	7600
538	66099	7480
539	66215	7357
540	66322	7232
541	66443	7110
542	66626	6993
543	66744	6870
544	66872	6748
545	66986	6625
546	67098	6501
547	67215	6378
548	67345	6256
549	67880	6170
550	67995	6046
551	68115	5923
552	68230	5798
553	68369	5676
554	68484	5552
555	68599	5428
556	68722	5305
557	68840	5181
558	68969	5058
559	69087	4934
560	69203	4810
561	69320	4687
562	69432	4563
563	69558	4439
564	69687	4316
565	69806	4193
566	70000	4074
567	70124	3950
568	70247	3827
569	70379	3704
570	70493	3580
571	70606	3456
572	70723	3332
573	70843	3208
574	70968	3085
575	71087	2961
576	71209	2838
577	71348	2715
578	71487	2592
579	71607	2469
580	71736	2345
581	71854	2222
582	72164	2104
583	72296	1980
584	72441	1857
585	72568	1733
586	72728	1610
587	72846	1486
588	72970	1362
589	73093	1238
590	73222	1115
591	73355	991
592	73486	867
593	73605	743
594	73723	619
595	74140	497
596	74256	373
597	74400	248
598	74522	124
599	74637	0
